genesymbols	Malignant	Endothelial cells	CAF	T cells CD8	NK cells	Macrophages	T cells CD4	B cells
ACBD7	14.280242176816	28.1162726931361	1	35.257363223329	18.1111173795727	15.319353307193	35.4390932495545	48.1364461675713
ACCS	1	1	1	1	1	1	1	1
ACCSL	1	1	1	1	1	1	1	1
ACD	27.9572077860317	1	19.4957838877326	1	1	1	1	1
ACE	1	1	1	1	1	1	1	1
ACE2	1	1	1	1	1	1	1	1
ACER1	1	1	1	1	1	1	1	1
ACER2	1	1	1	1	1	1	1	1
ACER3	16.1508959071483	1	53.6455031419469	1	1	1	1	1
ACHE	1	1	1	1	1	1	1	1
ACIN1	17.7009052775484	38.9579157348529	15.6298045966634	25.483389445157	28.9736214975417	1	42.6709701886657	39.6462303449603
ACLY	55.5435743795651	180.366585767687	222.393745499692	75.4085601569481	92.9882417331225	61.1404424022763	71.1988387144641	29.6856055410519
ACMSD	1	1	1	1	1	1	1	1
ACN9	31.9569651090419	1	1	1	1	1	1	1
ACO1	26.8038775531624	26.9647506462215	74.5310790250918	1	1	1	1	1
ACO2	118.621352609313	125.016393272192	53.9329315598067	64.2946384427915	144.614470254891	81.3671199255613	79.6407630460746	79.6376750568633
ACOT1	1	1	1	1	1	1	1	1
ACOT11	1	1	1	1	1	1	1	1
ACOT12	1	1	1	1	1	1	1	1
ACOT13	24.339355803991	1	20.1505818936738	1	1	28.9937970256594	31.7596032013597	1
ACOT2	37.8833026507278	41.4231130722545	37.8857607753977	42.2800422099266	1	1	1	1
ACOT4	1	1	1	1	1	1	1	1
ACOT6	1	1	1	1	1	1	1	1
ACOT7	233.299583113929	32.5453011396337	97.2406154403665	1	5.94225518328445	1	1	1
ACOT8	84.4804127828623	119.397515023008	30.7233764619114	1	1	72.2176445217274	50.6509336959165	1
ACOT9	58.8628615112322	124.550175138686	58.9586344033256	70.1707873849331	1	54.1083186916933	1	1
ACOX1	18.5365082602688	12.8407671381215	1	1	1	14.671900948475	1	1
ACOX2	1	1	1	1	1	1	1	1
ACOX3	1	1	13.364794176103	1	1	1	1	1
ACOXL	1	1	1	1	1	1	1	1
ACP1	157.069925168889	83.662055939348	185.883695210693	106.311115788328	275.673463391714	51.053585309982	131.802154383691	77.8844757304327
ACP2	32.6729157994486	88.9496743532014	60.9481457189611	1	1	209.425277907099	1	1
ACP5	270.664038067069	1	1	244.579494343252	120.05884185725	298.678167531073	167.135590830964	240.082760765605
ACP6	42.133344337226	1	1	1	1	1	1	1
ACPL2	1	1	1	1	1	1	1	1
ACPP	1	1	1	1	1	1	1	1
ACPT	1	1	1	1	1	1	1	1
ACR	1	1	1	1	1	1	1	1
ACRBP	1	1	1	1	1	1	1	1
ACRC	1	1	1	1	1	1	1	1
ACRV1	1	1	1	1	1	1	1	1
ACSBG1	1	1	1	1	1	1	1	1
ACSBG2	1	1	1	1	1	1	1	1
ACSF2	1	1	1	1	1	1	1	1
ACSF3	18.2213767277828	22.4446421736624	1	1	1	1	1	1
ACSL1	35.9812929643115	1	19.5173787127964	1	1	77.3703278310181	1	1
ACSL3	201.269521341536	48.0123107690076	45.3927306134926	1	1	26.0182623650532	1	1
ACSL4	1	36.8553048418237	63.6115689865758	1	43.6387359421276	27.1588130487114	1	1
ACSL5	1	118.266878767036	1	71.1061295064743	23.9047618244234	1	57.8460244875816	1
ACSL6	1	1	1	1	1	1	1	1
ACSM1	1	1	1	1	1	1	1	1
ACSM2A	1	1	1	1	1	1	1	1
ACSM2B	1	1	1	1	1	1	1	1
ACSM3	1	1	1	1	1	1	1	1
ACSM4	1	1	1	1	1	1	1	1
ACSM5	1	1	1	1	1	1	1	1
ACSS1	1	1	1	1	1	1	1	1
ACSS2	1	43.4471879994231	22.2905843230252	1	1	1	1	1
ACSS3	1	1	1	1	1	1	1	1
ACTA1	1	1	1	1	1	1	1	1
ACTA2	1	1	750.87761862742	1	1	1	1	1
ACTB	4443.29284718466	4790.35658094769	13044.088409459	10615.9303327101	12797.9960044211	8843.41277525175	12167.7210147813	7417.51622870375
ACTBL2	1	1	1	1	1	1	1	1
ACTC1	1	1	1	1	1	1	1	1
ACTG1	4856.33676011195	2219.7266556204	6887.82657582821	4007.40006883082	3883.09867265326	1986.16954728678	3946.81286101124	2416.86513949163
ACTG1P4	1	1	1	1	1	1	1	1
ACTG2	1	1	1	1	1	1	1	1
ACTL10	1	1	1	1	1	1	1	1
ACTL6A	138.918829804879	14.5230198046081	68.3572700226711	92.8888716249609	1	24.351093658043	95.1278352305424	65.0864394105656
ACTL6B	1	1	1	1	1	1	1	1
ACTL7A	1	1	1	1	1	1	1	1
ACTL7B	1	1	1	1	1	1	1	1
ACTL8	1	1	1	1	1	1	1	1
ACTL9	1	1	1	1	1	1	1	1
ACTN1	98.1384036410438	563.654806373326	533.09448749638	1	1	33.9764602705637	1	1
ACTN1.AS1	1	1	1	1	1	1	1	1
ACTN2	1	1	1	1	1	1	1	1
ACTN3	1	1	1	1	1	1	1	1
ACTN4	166.10485995863	159.541111376962	184.975323758177	122.364596325951	34.017068252285	16.4607350417092	90.0602993702251	52.501348863652
ACTR10	68.3221279313542	66.3025305198632	115.370945131152	62.8842144190884	71.4983483002389	39.6298787365376	96.6003473019859	58.6415594145483
ACTR1A	52.1105681516711	122.861189994224	143.583590356903	69.6023543897145	190.142977180993	74.111941106479	56.2108749036893	51.9563758390561
ACTR1B	48.5009944049444	43.9656233547517	73.9662965392991	76.8449753313516	1	33.1105061700376	102.888359729738	1
ACTR2	71.9683833623871	130.820358978398	251.386887933334	176.064707797804	287.94135684264	142.497327556688	215.588687530819	207.77665111492
ACTR3	158.836280563837	178.542408474892	604.571825759772	384.221781852651	62.0080427080095	193.128173087397	457.038507491263	257.281195325296
ACTR3B	1	1	1	1	1	1	1	1
ACTR3BP2	1	1	1	1	1	1	1	1
ACTR3BP5	1	1	1	1	1	1	1	1
ACTR3C	1	1	1	1	1	1	1	1
ACTR5	1	1	1	1	1	1	1	1
ACTR6	19.4449707342807	1	28.2363982413363	1	1	1	59.7455096504748	1
ACTR8	15.8658359320046	1	15.872050764188	1	1	1	1	1
ACTRT1	1	1	1	1	1	1	1	1
ACTRT2	1	1	1	1	1	1	1	1
ACTRT3	1	1	1	1	1	1	1	1
ACVR1	1	1	35.6605047052315	1	1	1	1	1
ACVR1B	1	1	1	1	1	1	1	1
ACVR1C	1	1	1	1	1	1	1	1
ACVR2A	1	1	1	1	1	1	1	1
ACVR2B	1	1	1	1	1	1	1	1
ACVR2B.AS1	1	1	1	1	1	1	1	1
ACVRL1	1	53.1313322477617	1	1	1	1	1	1
ACY1	58.3484376927526	1	35.9171594952465	1	1	92.5800774076073	1	1
ACY3	1	1	1	1	1	1	1	1
ACYP1	42.3409284124907	1	1	1	1	1	1	1
ACYP2	1	38.7911979552711	1	1	1	1	1	1
ADA	1	53.0448574726803	65.4570820496752	58.9941948435732	294.641803058289	1	1	1
ADAD1	1	1	1	1	1	1	1	1
ADAD2	1	1	1	1	1	1	1	1
ADAL	1	1	1	1	1	1	1	1
ADAM10	51.2316760261832	146.775475422458	58.4839249741481	1	1	54.7946169041381	83.3421865830473	50.2752037096231
ADAM11	1	1	1	1	1	1	1	1
ADAM12	1	1	112.786838098077	1	1	1	1	1
ADAM15	92.7052073965194	128.684157318482	48.3695429509652	1	1	22.9236461154178	1	1
ADAM17	31.914000919511	29.0871561903546	26.2840937197265	31.8160275668083	1	33.1795915035528	46.0180243483551	1
ADAM18	1	1	1	1	1	1	1	1
ADAM19	22.061161343644	39.5179677420013	20.5336041458568	1	1	1	50.5600769893671	88.3495490460176
ADAM1A	1	1	1	1	1	1	1	1
ADAM2	1	1	1	1	1	1	1	1
ADAM20	1	1	1	1	1	1	1	1
ADAM20P1	1	1	1	1	1	1	1	1
ADAM21	1	1	1	1	1	1	1	1
ADAM21P1	1	1	1	1	1	1	1	1
ADAM22	1	1	1	1	1	1	1	1
ADAM23	1	1	1	1	1	1	1	1
ADAM28	1	1	1	1	259.914348920978	88.1624896458103	1	333.302999980073
ADAM29	1	1	1	1	1	1	1	1
ADAM30	1	1	1	1	1	1	1	1
ADAM32	1	1	1	1	1	1	1	1
ADAM33	1	1	54.6364962990615	1	1	1	1	1
ADAM3A	1	1	1	1	1	1	1	1
ADAM5	1	1	1	1	1	1	1	1
ADAM6	1	1	1	1	1	1	1	1
ADAM7	1	1	1	1	1	1	1	1
ADAM8	1	1	1	118.044194030107	120.965473076474	1	1	1
ADAM9	47.779317902825	67.9870601030565	152.260442235692	1	1	59.1258896224367	1	1
ADAMDEC1	1	1	1	1	1	1	1	1
ADAMTS1	65.2275171051117	1	357.863051281496	1	1	1	1	1
ADAMTS10	1	1	1	1	1	1	1	1
ADAMTS12	1	1	1	1	1	1	1	1
ADAMTS13	1	1	1	1	1	1	1	1
ADAMTS14	1	1	1	1	1	1	1	1
ADAMTS15	1	1	1	1	1	1	1	1
ADAMTS16	1	1	1	1	1	1	1	1
ADAMTS17	1	1	1	1	1	1	1	1
ADAMTS18	1	1	1	1	1	1	1	1
ADAMTS19	1	1	1	1	1	1	1	1
ADAMTS2	1	1	74.7891233009829	1	1	1	1	1
ADAMTS20	1	1	1	1	1	1	1	1
ADAMTS3	1	1	1	1	1	1	1	1
ADAMTS4	1	82.4887634645117	1	15.3347302112406	1	1	15.1983004759995	14.5977375329262
ADAMTS5	1	1	49.7721895741967	1	1	1	1	1
ADAMTS6	1	1	1	1	1	1	1	1
ADAMTS7	1	49.1800687595262	19.8599533046342	1	1	1	1	1
ADAMTS8	1	1	1	1	1	1	1	1
ADAMTS9	1	53.3320901251793	1	1	1	1	1	1
ADAMTS9.AS2	1	1	1	1	1	1	1	1
ADAMTSL1	1	1	54.6216822294595	1	1	1	1	1
ADAMTSL2	1	1	1	1	1	1	1	1
ADAMTSL3	1	1	1	1	1	1	1	1
ADAMTSL4	1	1	1	1	1	1	1	1
ADAMTSL5	1	1	1	1	1	1	1	1
ADAP1	1	1	1	1	1	1	1	1
ADAP2	1	1	1	1	1	194.533637094117	1	1
ADAR	73.9914952817678	100.979508671401	52.4356694907517	95.6553758056408	86.9249585056601	41.7128601512558	104.285738743237	74.5949499921969
ADARB1	1	1	1	1	1	1	1	1
ADARB2	1	1	1	1	1	1	1	1
ADARB2.AS1	1	1	1	1	1	1	1	1
ADAT1	18.9541015949712	28.9753723833239	29.02281014212	73.7589048980316	26.0192936363402	10.5904489789903	70.6351610809539	54.0542786418355
ADAT2	1	1	1	1	1	1	1	1
ADAT3	1	1	1	1	1	1	1	1
ADC	1	1	1	1	1	1	1	1
ADCK1	1	1	1	1	1	1	1	1
ADCK2	1	1	1	1	1	1	1	1
ADCK3	49.7806036018154	37.1505565982972	1	1	1	1	1	1
ADCK4	43.1944971426981	1	17.9334243564601	1	1	1	1	1
ADCK5	1	1	20.2179214844708	1	1	1	1	1
ADCY1	15.0781178024054	1	1	1	1	1	1	1
ADCY10	1	1	1	1	1	1	1	1
ADCY10P1	1	1	1	1	1	1	1	1
ADCY2	1	1	1	1	1	1	1	1
ADCY3	1	1	34.1803074818338	1	1	1	1	1
ADCY4	1	108.225760076054	23.9711326010865	1	1	1	1	1
ADCY5	1	1	1	1	1	1	1	1
ADCY6	1	1	1	1	1	1	1	1
ADCY7	1	1	1	56.435646171502	29.9494802049305	27.3828897300811	57.0060324693493	65.3395139779356
ADCY8	1	1	1	1	1	1	1	1
ADCY9	1	1	1	1	1	1	1	1
ADCYAP1	1	1	1	1	1	1	1	1
ADCYAP1R1	1	1	1	1	1	1	1	1
ADD1	49.8121223815184	80.649967470052	57.9995422436397	44.1540927885926	100.632753174722	23.0307314617841	1	27.5904157554715
ADD2	1	1	1	1	1	1	1	1
ADD3	46.3130876467828	199.435232204832	159.989029311269	79.3377285966751	128.769190643949	1	152.735049857223	51.121798958183
ADGB	1	1	1	1	1	1	1	1
ADH1A	1	1	1	1	1	1	1	1
ADH1B	1	1	1	1	1	1	1	1
ADH1C	1	1	1	1	1	1	1	1
ADH4	1	1	1	1	1	1	1	1
ADH5	128.577846304578	97.1675315895569	204.792151068936	88.8830585438697	113.305251352498	32.2578135449888	107.132677483591	57.174840498665
ADH6	1	1	1	1	1	1	1	1
ADH7	1	1	1	1	1	1	1	1
ADHFE1	20.3641218140568	1	1	1	54.1821796466947	1	1	1
ADI1	103.286132187899	181.55299160104	178.074205497307	1	1	82.7414129676102	88.2507217489849	1
ADIG	1	1	1	1	1	1	1	1
ADIPOQ	1	1	1	1	1	1	1	1
ADIPOQ.AS1	1	1	1	1	1	1	1	1
ADIPOR1	272.48092727664	165.381534876247	147.16498037398	92.0546199787255	1	234.695786013669	84.3584147108303	87.7441871992358
ADIPOR2	1	1	1	1	1	1	1	1
ADIRF	1	171.846155178081	33.6901398042146	1	1	1	1	1
ADK	1	1	107.120179167396	1	1	26.9483147512664	1	156.134195221867
ADM	66.3602494677201	374.459498194016	187.994244512261	1	1	232.118161544636	1	1
ADM2	1	1	1	1	1	1	1	1
ADM5	1	1	1	1	1	1	1	1
ADNP	16.0317875783693	1	1	1	1	1	1	1
ADNP2	1	1	1	1	1	1	1	1
ADO	1	1	1	1	1	1	1	1
ADORA1	1	1	1	1	1	1	1	1
ADORA2A	1	1	1	120.45341751047	1	1	1	1
ADORA2A.AS1	1	1	1	1	1	1	1	1
ADORA2B	1	1	1	1	1	1	1	1
ADORA3	1	1	1	1	1	261.219388456096	1	1
ADPGK	43.820285047	76.9657838272457	71.2902996629633	54.9134549682703	224.646140238269	139.084215235974	85.5132444132742	126.341054334434
ADPGK.AS1	1	1	1	1	1	1	1	25.6625927873885
ADPRH	1	28.9369532932075	1	1	1	1	1	1
ADPRHL1	1	1	1	1	1	1	1	1
ADPRHL2	89.4773708141992	30.9143417847724	78.5926099325928	1	31.86023696614	74.9054966517327	1	1
ADPRM	1	1	18.6287937111535	1	1	1	1	1
ADRA1A	1	1	1	28.9729936827932	22.039499139618	1	24.6840284621633	33.6921828644129
ADRA1B	1	1	1	1	1	1	1	1
ADRA1D	1	1	1	1	1	1	1	1
ADRA2A	1	1	1	1	1	1	1	1
ADRA2B	1	1	1	1	1	1	1	1
ADRA2C	1	1	1	1	1	1	1	1
ADRB1	1	1	1	1	1	1	1	1
ADRB2	1	26.2193231201879	1	1	189.898374299062	1	1	1
ADRB3	1	1	1	1	1	1	1	1
ADRBK1	1	1	1	55.7352323946117	29.5132350462807	49.2077438096853	58.2270145699115	45.6905593702555
ADRBK2	1	1	1	1	1	1	1	40.0956800255482
ADRM1	164.697979050134	118.906527200819	228.631458902635	152.337502965001	105.940347109586	94.5243726437781	182.136449416984	129.578323827224
ADSL	267.614854523738	143.257247301031	130.805280084693	112.604393140379	176.869124474546	65.4392261178317	218.850171804475	74.5847027448037
ADSS	181.893524188025	65.5716127393703	43.8880730463764	98.0542991302871	66.6212504793876	1	87.4668942085063	118.301856853801
ADSSL1	1	1	1	1	1	1	1	1
ADTRP	1	1	1	1	1	1	1	1
AEBP1	69.6366151695951	41.0638070782404	58.2095433553315	1	1	1	1	1
AEBP2	1	40.2723566095434	1	1	1	1	1	1
AEN	48.629374656155	50.4890348141254	39.5434689143946	1	1	1	1	1
AES	1	25.5872576966787	50.2366625764482	68.9906263509205	26.3024990563206	25.2554219155478	99.5858024797964	21.1385111774732
AFAP1	1	23.1212619336665	30.5010126269736	1	1	1	1	1
AFAP1.AS1	1	1	1	1	1	1	1	1
AFAP1L1	1	263.57870922051	1	1	1	1	1	1
AFAP1L2	60.2760673996351	1	1	1	1	1	1	1
AFF1	1	22.4392610104149	15.1866042990789	1	1	1	1	1
AFF2	1	1	1	1	1	1	1	1
AFF3	1	1	1	1	1	1	1	82.8623505239176
AFF4	28.4976769261997	13.8358013625775	23.7879101871495	26.9622017727419	1	1	23.1029469400208	46.7832607118312
AFG3L1P	1	84.832727754246	1	1	31.4618910304208	1	1	1
AFG3L2	53.5792243748928	33.7668567146576	28.7900647945985	1	52.0208398091591	1	1	1
AFM	1	1	1	1	1	1	1	1
AFMID	31.0623697243042	125.673931383497	37.594761768865	37.6758814917276	32.798695812427	39.8059099351571	30.443904252857	53.1581886910779
AFP	1	1	1	1	1	1	1	1
AFTPH	1	42.1457948425349	15.8814686893051	49.6047153940904	1	21.0106011203922	48.7072593039498	58.2367253163837
AGA	30.8418640535868	47.2309648360036	15.3978101824354	55.8570526421866	1	32.5319743081432	1	51.8775276650717
AGAP1	1	1	1	1	1	1	1	1
AGAP11	1	1	1	1	1	1	1	1
AGAP2	1	1	1	1	1	1	1	1
AGAP3	1	30.3107887945284	33.5117495250655	1	1	1	1	1
AGAP4	1	1	1	1	1	1	1	1
AGAP5	1	1	1	1	1	1	1	1
AGAP6	1	1	1	1	1	1	1	1
AGAP7	1	1	1	1	1	1	1	1
AGAP8	1	1	1	1	1	1	1	1
AGAP9	1	1	1	1	1	1	1	1
AGBL1	1	1	1	1	1	1	1	1
AGBL2	1	1	1	1	1	1	1	1
AGBL3	1	1	1	1	1	1	1	1
AGBL4	1	1	1	1	1	1	1	1
AGBL5	31.2472696232648	1	1	1	138.859894283042	1	1	1
AGER	1	1	1	1	1	1	1	1
AGFG1	1	1	1	1	1	1	1	1
AGFG2	1	18.6427804073156	1	1	1	1	1	1
AGGF1	15.6564145949868	25.4098382366671	19.1977643816137	1	1	1	1	1
AGK	22.6917603753069	19.5240803900116	1	78.300371916339	81.906362396605	1	49.3548768465783	1
AGL	1	1	1	1	1	1	1	1
AGMAT	11.373285440056	20.2067820223913	1	41.3176300642484	19.1857542420154	14.1754854140886	43.1417941133483	37.9355648901166
AGMO	1	1	1	1	1	1	1	1
AGO1	1	1	1	1	14.8161323739134	1	1	1
AGO2	1	1	1	1	1	1	1	1
AGO3	1	1	31.2833268807702	1	1	1	1	25.6766828612812
AGO4	1	14.3161336951859	1	1	126.154137652067	1	1	1
