"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.OPC","log2fold_change","Auc"
"294","ENSG00000169432","hurdle",4.29062431763708e-297,-0.2546041,0.8022465,1.0568506,0.696
"22","ENSG00000064270","hurdle",0,-1.85728208,-0.05070575,1.80657633,0.696
"117","ENSG00000120907","hurdle",0,-0.4292429,0.4580789,0.8873218,0.695
"125","ENSG00000124440","hurdle",0,-1.5115326,0.1502917,1.6618243,0.694
"44","ENSG00000089250","hurdle",0,-1.3593385,0.2009871,1.5603256,0.694
"415","ENSG00000244128","hurdle",2.45715209341558e-246,0.9563993,1.6071015,0.6507022,0.691
"64","ENSG00000102934","hurdle",2.1723354499044e-316,-1.5372675,0.06186526,1.59913276,0.691
"446","ENSG00000287550","hurdle",0,-2.9588111,-0.3846225,2.5741886,0.69
"115","ENSG00000118515","hurdle",1.0775617591017e-200,0.8300209,1.6036799,0.773659,0.686
"149","ENSG00000132561","hurdle",5.12989110808196e-293,-1.51887118,0.08588718,1.60475836,0.685
"109","ENSG00000115935","hurdle",1.28502783153771e-274,-1.1976213,0.3767945,1.5744158,0.685
"52","ENSG00000100146","hurdle",0,-2.204882,-0.2441213,1.9607607,0.685
"197","ENSG00000144791","hurdle",0,-2.2173828,-0.1812169,2.0361659,0.684
"57","ENSG00000101203","hurdle",0,-3.080928,-0.421995,2.658933,0.684
"275","ENSG00000165246","hurdle",2.64323849722255e-193,1.43993,2.352683,0.912753,0.683
"363","ENSG00000196083","hurdle",4.10851734626012e-257,0.08828499,0.91933025,0.83104526,0.681
"321","ENSG00000178538","hurdle",3.59299349522196e-308,-1.4339658,0.3853599,1.8193257,0.681
"124","ENSG00000123384","hurdle",3.89464298776349e-179,0.4214095,1.2586899,0.8372804,0.681
"444","ENSG00000286778","hurdle",0,-2.44461046,0.08448514,2.5290956,0.68
"426","ENSG00000258733","hurdle",5.50476871375699e-314,-1.472155,0.451568,1.923723,0.68
"372","ENSG00000197299","hurdle",0,-2.6762129,-0.4788974,2.1973155,0.68
"330","ENSG00000181804","hurdle",7.3455899572633e-189,0.6961957,1.2988397,0.602644,0.68
"119","ENSG00000121957","hurdle",3.60706839742484e-205,-0.3890016,0.7764296,1.1654312,0.68
"21","ENSG00000061938","hurdle",9.44304609290964e-180,-0.04037566,0.91696905,0.95734471,0.677
"292","ENSG00000169181","hurdle",4.65161840256129e-260,-0.05303356,0.71115426,0.76418782,0.675
"272","ENSG00000164574","hurdle",1.15141689190649e-203,-0.5648278,0.4944288,1.0592566,0.675
"238","ENSG00000155324","hurdle",3.33233364435801e-207,-0.4751205,0.5345135,1.009634,0.673
"206","ENSG00000147044","hurdle",2.69043336287925e-176,1.352601,2.003157,0.650556,0.673
"194","ENSG00000143842","hurdle",0,-2.4074857,-0.4552546,1.9522311,0.671
"138","ENSG00000129116","hurdle",1.06072346364618e-170,0.0428111,0.9469816,0.9041705,0.67
"379","ENSG00000198795","hurdle",1.64684018963463e-190,-0.3407735,0.6757461,1.0165196,0.669
"77","ENSG00000105855","hurdle",2.4343675495033e-186,-0.2363114,0.5814879,0.8177993,0.669
"267","ENSG00000163697","hurdle",4.66420502872601e-155,2.069818,2.659242,0.589424,0.668
"162","ENSG00000135090","hurdle",4.92993889326459e-158,1.708577,2.278138,0.569561,0.668
"45","ENSG00000091490","hurdle",4.76624519868747e-242,-0.8390662,0.1642953,1.0033615,0.668
"140","ENSG00000130449","hurdle",3.74120032082779e-144,2.566541,3.198802,0.632261,0.667
"204","ENSG00000146648","hurdle",3.12132374242182e-271,-0.4581495,0.2537086,0.7118581,0.666
"70","ENSG00000103528","hurdle",1.84482736771146e-204,-0.6002611,0.3490384,0.9492995,0.666
"307","ENSG00000173546","hurdle",0,-3.0545199,-0.7419318,2.3125881,0.665
"270","ENSG00000164300","hurdle",2.01294490475309e-149,0.5109104,1.4335102,0.9225998,0.663
"190","ENSG00000140526","hurdle",1.25197764259809e-156,1.47093,2.019757,0.548827,0.663
"175","ENSG00000137478","hurdle",4.69003946181943e-151,1.630012,2.229968,0.599956,0.663
"144","ENSG00000131094","hurdle",0,-2.6645867,-0.6364387,2.028148,0.663
"203","ENSG00000146592","hurdle",3.25799443278761e-174,0.4780708,1.1742153,0.6961445,0.661
"351","ENSG00000186998","hurdle",3.12768697380625e-264,-1.882434,-0.268996,1.613438,0.66
"196","ENSG00000144230","hurdle",0,-3.2383738,-0.7307817,2.5075921,0.658
"362","ENSG00000189058","hurdle",4.80842483756081e-233,-1.6962038,-0.2257428,1.470461,0.657
"406","ENSG00000231871","hurdle",5.2790090359461e-170,-0.5702409,0.707971,1.2782119,0.655
"178","ENSG00000138193","hurdle",9.19378065601179e-215,-0.97267019,0.03162803,1.00429822,0.655
"386","ENSG00000205683","hurdle",1.43831307023037e-177,-0.6201798,0.3189504,0.9391302,0.654
"141","ENSG00000130508","hurdle",2.31723933153585e-282,-1.9343967,-0.4872127,1.447184,0.654
"8","ENSG00000020577","hurdle",4.17934300080306e-142,1.194384,1.84655,0.652166,0.654
"223","ENSG00000151892","hurdle",7.15096457565652e-227,-1.3028065,-0.0921182,1.2106883,0.653
"3","ENSG00000008311","hurdle",4.07377968976179e-206,-1.5834784,-0.2450023,1.3384761,0.653
"134","ENSG00000127252","hurdle",7.17060839598458e-194,-1.318696,0.04754558,1.36624158,0.652
"67","ENSG00000103196","hurdle",0,-2.4053808,-0.3145106,2.0908702,0.652
"430","ENSG00000259417","hurdle",4.26904703653707e-312,-1.8887913,-0.3519853,1.536806,0.651
"157","ENSG00000134508","hurdle",2.38209609839673e-132,0.06514543,1.00482569,0.93968026,0.649
"385","ENSG00000205336","hurdle",4.65580656926301e-205,-1.7129397,-0.3154357,1.397504,0.648
"361","ENSG00000188906","hurdle",2.06866048503781e-140,0.4512965,1.0568695,0.605573,0.648
"104","ENSG00000114646","hurdle",1.93878044331447e-146,-0.7679774,0.2630344,1.0310118,0.647
"14","ENSG00000049089","hurdle",1.25736365042985e-280,-2.3367868,-0.6468805,1.6899063,0.647
"1","ENSG00000005513","hurdle",1.44207642436669e-264,-2.200374,-0.5920446,1.6083294,0.647
"200","ENSG00000145555","hurdle",1.01592183338853e-168,-0.94820597,-0.01269789,0.93550808,0.646
"191","ENSG00000140807","hurdle",3.74564815842002e-203,-1.5762781,-0.3080515,1.2682266,0.645
"15","ENSG00000049192","hurdle",8.31006887120198e-235,-0.8370317,0.1496214,0.9866531,0.645
"387","ENSG00000205809","hurdle",0,-3.181317,-0.935999,2.245318,0.643
"187","ENSG00000139946","hurdle",1.58096642867937e-143,0.004616577,0.719759279,0.715142702,0.643
"179","ENSG00000138448","hurdle",5.27555240406687e-129,-0.5419112,0.4096359,0.9515471,0.642
"4","ENSG00000009413","hurdle",5.88997432763307e-140,1.961086,2.463752,0.502666,0.641
"420","ENSG00000248184","hurdle",0,-3.2195138,-0.7531688,2.466345,0.639
"230","ENSG00000153822","hurdle",0,-2.9234417,-0.8733541,2.0500876,0.639
"29","ENSG00000069869","hurdle",1.72561286276303e-229,-2.042225,-0.4532169,1.5890081,0.639
"445","ENSG00000287151","hurdle",1.8890182531391e-122,-0.224079,0.4949566,0.7190356,0.638
"352","ENSG00000187068","hurdle",2.65525757852871e-129,-0.6011442,0.4051502,1.0062944,0.638
"23","ENSG00000064655","hurdle",2.46737214448414e-216,-1.610865,-0.3739824,1.2368826,0.638
"285","ENSG00000166573","hurdle",1.86867133547727e-293,-2.155227,-0.6620977,1.4931293,0.637
"182","ENSG00000138669","hurdle",8.74060750371002e-199,-0.5438778,0.1341193,0.6779971,0.637
"274","ENSG00000165029","hurdle",5.33640884722652e-161,-1.2513648,-0.2485319,1.0028329,0.635
"221","ENSG00000151414","hurdle",4.17854876057566e-117,-0.5606837,0.3337778,0.8944615,0.635
"110","ENSG00000116117","hurdle",1.03150304813455e-150,-0.1489361,0.4986457,0.6475818,0.635
"222","ENSG00000151491","hurdle",8.62103645321389e-136,-0.4237648,0.2924782,0.716243,0.634
"154","ENSG00000134250","hurdle",4.98850066995424e-187,-1.7364716,-0.5135112,1.2229604,0.634
"74","ENSG00000105088","hurdle",2.96375297427619e-116,-0.02400128,0.60416917,0.62817045,0.634
"183","ENSG00000139289","hurdle",1.20589436658832e-178,-1.824101,-0.489299,1.334802,0.633
"16","ENSG00000050405","hurdle",1.59909188295171e-132,-0.98445728,0.09774979,1.08220707,0.633
"246","ENSG00000158352","hurdle",5.63923918217049e-188,-0.73117631,0.08097408,0.81215039,0.632
"202","ENSG00000146477","hurdle",0,-2.6590592,-0.6918205,1.9672387,0.631
"156","ENSG00000134376","hurdle",4.21570227684613e-113,0.009278916,0.718403999,0.709125083,0.631
"116","ENSG00000120156","hurdle",2.06605410031532e-193,-1.8565151,-0.3163614,1.5401537,0.631
"65","ENSG00000103089","hurdle",2.35230613449627e-228,-0.9186355,-0.2663102,0.6523253,0.631
"56","ENSG00000101198","hurdle",0,-2.869832,-1.016454,1.853378,0.631
"28","ENSG00000067955","hurdle",4.59289770776174e-130,-1.12956013,-0.08658002,1.04298011,0.631
"368","ENSG00000196526","hurdle",3.46240667414177e-114,0.07251403,0.75323398,0.68071995,0.63
"313","ENSG00000175093","hurdle",7.62891373375944e-316,-2.7569276,-0.9232505,1.8336771,0.629
"261","ENSG00000163235","hurdle",6.46309911734686e-278,-2.6248619,-0.9036408,1.7212211,0.629
"318","ENSG00000177694","hurdle",3.22957477267461e-89,1.295486,1.88853,0.593044,0.628
"248","ENSG00000160307","hurdle",6.04734396703287e-147,-1.4090804,-0.4031878,1.0058926,0.628
"36","ENSG00000077943","hurdle",1.62886831514171e-222,-0.7378702,-0.1694603,0.5684099,0.627
"43","ENSG00000088881","hurdle",1.28565472216414e-166,-1.8727083,-0.6249247,1.2477836,0.626
"37","ENSG00000079335","hurdle",6.72742856219935e-205,-1.5449702,-0.5370572,1.007913,0.626
"353","ENSG00000187098","hurdle",2.54485645395092e-125,-0.6860204,0.1576438,0.8436642,0.625
"325","ENSG00000179455","hurdle",7.56213567465163e-145,-1.4374742,-0.2906639,1.1468103,0.625
"76","ENSG00000105854","hurdle",1.1233169708097e-150,-1.5283836,-0.4976746,1.030709,0.625
"42","ENSG00000085117","hurdle",1.0579452140584e-240,-2.4693155,-0.7925579,1.6767576,0.625
"402","ENSG00000227110","hurdle",5.61829973444213e-84,1.044176,1.714104,0.669928,0.624
"311","ENSG00000174607","hurdle",3.78392350577276e-176,-0.6150628,-0.1112693,0.5037935,0.623
"99","ENSG00000113296","hurdle",1.21372702999905e-132,-1.4833596,-0.4440827,1.0392769,0.623
"428","ENSG00000259070","hurdle",8.48324443202238e-153,-0.8823219,0.1060651,0.988387,0.622
"376","ENSG00000197965","hurdle",6.72145022245419e-94,-0.235875,0.5200658,0.7559408,0.622
"310","ENSG00000173905","hurdle",4.32929208711561e-115,-0.4586223,0.1307271,0.5893494,0.621
"7","ENSG00000019144","hurdle",3.05220612961444e-104,-0.8680486,-0.04225769,0.82579091,0.62
"106","ENSG00000114993","hurdle",2.2990893674611e-212,-2.513972,-1.062306,1.451666,0.619
"205","ENSG00000146966","hurdle",2.89971192345517e-97,-0.5417956,0.1589766,0.7007722,0.618
"2","ENSG00000007062","hurdle",1.02903835385084e-256,-2.5302401,-0.8760813,1.6541588,0.618
"423","ENSG00000256463","hurdle",2.74340920419339e-300,-2.865389,-1.127425,1.737964,0.617
"299","ENSG00000171016","hurdle",6.93431706431541e-139,-1.7210319,-0.6410702,1.0799617,0.615
"306","ENSG00000173193","hurdle",1.26331472101975e-178,-2.164927,-0.900861,1.264066,0.614
"297","ENSG00000170802","hurdle",3.29319083489171e-83,-0.526274,0.2449498,0.7712238,0.614
"283","ENSG00000166348","hurdle",7.51632268803946e-72,0.5021911,1.1225532,0.6203621,0.614
"208","ENSG00000147588","hurdle",2.19190900955587e-141,-1.9118121,-0.6644531,1.247359,0.613
"346","ENSG00000185650","hurdle",2.13368303406094e-148,-1.5128915,-0.6822424,0.8306491,0.612
"86","ENSG00000110092","hurdle",6.22315682891708e-203,-2.4665332,-0.8829219,1.5836113,0.612
"31","ENSG00000072182","hurdle",4.9879254266435e-193,-2.0415711,-0.9896262,1.0519449,0.611
"382","ENSG00000204099","hurdle",0,-3.142702,-1.380744,1.761958,0.61
"139","ENSG00000130413","hurdle",6.04649082242288e-105,-0.3146315,0.289439,0.6040705,0.609
"377","ENSG00000198373","hurdle",8.50123921817926e-72,-0.2452562,0.4395546,0.6848108,0.608
"366","ENSG00000196338","hurdle",1.31368563311695e-93,-1.3288994,-0.4552546,0.8736448,0.608
"27","ENSG00000065361","hurdle",3.22406642211314e-134,-1.7884632,-0.7197171,1.0687461,0.608
"439","ENSG00000269834","hurdle",1.01011539385604e-117,-1.6985214,-0.5675916,1.1309298,0.607
"304","ENSG00000172340","hurdle",4.02232507325163e-102,-1.3768287,-0.3768765,0.9999522,0.607
"17","ENSG00000056487","hurdle",6.21021695378381e-116,-1.403118,-0.5305973,0.8725207,0.606
"305","ENSG00000172380","hurdle",6.80391176065371e-137,-1.4549278,-0.6180602,0.8368676,0.605
"356","ENSG00000187678","hurdle",3.515060859636e-103,-1.5961461,-0.5664898,1.0296563,0.604
"177","ENSG00000137965","hurdle",2.20483373789555e-238,-2.787851,-1.256505,1.531346,0.604
"328","ENSG00000181449","hurdle",4.20045666825089e-108,-1.6587834,-0.7481638,0.9106196,0.603
"425","ENSG00000258569","hurdle",2.17329750406679e-119,-1.9536449,-0.7771827,1.1764622,0.602
"337","ENSG00000182648","hurdle",5.45404916904647e-77,-0.75286758,0.03308235,0.78594993,0.602
"255","ENSG00000162669","hurdle",9.73959828532822e-87,-1.0545803,-0.2636295,0.7909508,0.602
"419","ENSG00000247675","hurdle",2.46940234614884e-205,-2.711491,-1.137206,1.574285,0.601
"370","ENSG00000196739","hurdle",8.23595950598458e-134,-2.1561705,-0.9502974,1.2058731,0.599
"73","ENSG00000104368","hurdle",7.00433858180182e-157,-2.400621,-1.054562,1.346059,0.599
"395","ENSG00000224243","hurdle",2.7864565476837e-162,-1.865939,-1.071654,0.794285,0.598
"410","ENSG00000239381","hurdle",4.5819495442285e-98,-1.567151,-0.489299,1.077852,0.597
"105","ENSG00000114698","hurdle",2.06400626878561e-142,-2.094621,-0.9866759,1.1079451,0.597
"421","ENSG00000253807","hurdle",4.83701713177623e-84,-0.5828717,0.2784447,0.8613164,0.594
"169","ENSG00000136235","hurdle",2.68647084266606e-315,-3.126893,-1.155312,1.971581,0.594
"308","ENSG00000173705","hurdle",3.76471153171885e-77,-1.1172777,-0.4002405,0.7170372,0.593
"9","ENSG00000030419","hurdle",2.93481278959127e-62,-0.78799237,-0.08579058,0.70220179,0.593
"320","ENSG00000178075","hurdle",2.57039506030601e-86,-1.2222345,-0.5686941,0.6535404,0.592
"163","ENSG00000135318","hurdle",5.15507395695383e-140,-2.467997,-1.183749,1.284248,0.592
"32","ENSG00000075429","hurdle",2.91699062141248e-202,-2.499232,-1.088951,1.410281,0.592
"253","ENSG00000162512","hurdle",9.65783139422949e-61,-0.8205772,-0.262737,0.5578402,0.591
"242","ENSG00000157613","hurdle",3.89470702082781e-152,-2.581917,-1.310816,1.271101,0.591
"233","ENSG00000154274","hurdle",5.09118601878611e-142,-2.3778808,-0.9793264,1.3985544,0.591
"71","ENSG00000103966","hurdle",2.91039652468361e-136,-2.412832,-1.143764,1.269068,0.591
"433","ENSG00000262223","hurdle",5.07991331842595e-99,-1.7407997,-0.8490384,0.8917613,0.59
"113","ENSG00000116525","hurdle",3.20958495342484e-95,-1.8630476,-0.8172422,1.0458054,0.59
"234","ENSG00000154309","hurdle",1.78248722441913e-60,-0.54314482,0.01994031,0.56308513,0.589
"284","ENSG00000166387","hurdle",1.33908972353802e-67,-1.2997407,-0.5241663,0.7755744,0.588
"241","ENSG00000156966","hurdle",0,-3.248903,-1.645717,1.603186,0.588
"185","ENSG00000139352","hurdle",1.51676455842374e-130,-2.500579,-1.281596,1.218983,0.588
"100","ENSG00000113916","hurdle",4.17436078646963e-64,-1.0597023,-0.2779847,0.7817176,0.588
"34","ENSG00000076604","hurdle",2.78506188760217e-193,-2.884221,-1.491388,1.392833,0.588
"47","ENSG00000092758","hurdle",8.56917994773852e-126,-2.479465,-1.296132,1.183333,0.587
"184","ENSG00000139292","hurdle",3.51939026147373e-107,-1.7361189,-0.9289026,0.8072163,0.586
"188","ENSG00000140455","hurdle",2.27390725134567e-59,-1.0662828,-0.3855937,0.6806891,0.585
"381","ENSG00000203876","hurdle",9.0728251376764e-80,-1.4310367,-0.6422304,0.7888063,0.584
"176","ENSG00000137628","hurdle",8.18952245388099e-151,-2.718617,-1.376877,1.34174,0.584
"58","ENSG00000101265","hurdle",1.02459285010057e-81,-1.8480096,-0.9603912,0.8876184,0.584
"18","ENSG00000056736","hurdle",5.05381019516403e-173,-2.886372,-1.559897,1.326475,0.584
"280","ENSG00000166016","hurdle",4.54753378578264e-66,-1.2087738,-0.3749465,0.8338273,0.583
"277","ENSG00000165478","hurdle",1.07286778541463e-83,-1.6439009,-0.9734737,0.6704272,0.583
"121","ENSG00000122863","hurdle",2.83523221662133e-125,-2.54917,-1.367252,1.181918,0.583
