Sample,cell_type,n_cell,prop,Combo,n_cell_sn,prop_sn
Br8492_mid,Inhib,5310,0.10858895705521472,Circle,364,0.10823669342848648
Br8492_mid,Other,34851,0.7126993865030675,Circle,2574,0.7653880463871543
Br8492_post,Astro,15827,0.35,Circle,269,0.13959522573949143
Br8492_post,Endo,3480,0.07695709862892526,Circle,91,0.04722366372599896
Br8492_post,Excit,15083,0.333547103051747,Star,889,0.461338868707836
Br8492_post,Inhib,5066,0.11203007518796992,Circle,194,0.10067462376751427
Br8492_post,Micro,2214,0.04896063688633348,Star,104,0.05396990140114167
Br8492_post,Oligo,3550,0.07850508624502432,Star,380,0.19719771665801764
Br8667_ant,Astro,19970,0.4599368939865036,Circle,201,0.0472385428907168
Br8667_ant,Endo,2780,0.06402726916787581,Circle,126,0.029612220916568743
Br8667_ant,Excit,6267,0.14433773232916466,Star,1793,0.42138660399529965
Br8667_ant,Inhib,3181,0.07326285727446509,Circle,192,0.04512338425381904
Br8667_ant,Micro,2080,0.04790529491697183,Star,77,0.01809635722679201
Br8667_ant,Oligo,9141,0.210529952325019,Star,1866,0.43854289071680375
Br8667_mid,Astro,4570,0.1563301748024493,Circle,128,0.06037735849056604
Br8667_mid,Endo,2168,0.07416276126295625,Circle,81,0.03820754716981132
Br8667_mid,Excit,15322,0.5241336845346013,Star,1322,0.6235849056603774
Br8667_mid,Inhib,5231,0.17894160708788012,Circle,151,0.07122641509433962
Br8667_mid,Micro,908,0.031060787466219684,Star,60,0.02830188679245283
Br8667_mid,Oligo,1034,0.03537098484589334,Star,378,0.17830188679245282
