Sample,cell_type,n_cell,prop,Combo,n_cell_sn,prop_sn
Br6522_post,Endo,3837,0.10289070041832028,Circle,43,0.04668838219326819
Br6522_post,Excit,11080,0.2971146626622332,Star,449,0.48751357220412594
Br6522_post,Inhib,3455,0.09264721656119275,Circle,60,0.06514657980456026
Br6522_post,Micro,656,0.017590904215381314,Star,34,0.03691639522258415
Br6522_post,Oligo,5860,0.15713826021666846,Star,284,0.30836047774158526
Br8325_ant,Astro,5860,0.19723334791827943,Circle,282,0.06056701030927835
Br8325_ant,Endo,2968,0.09989566153949715,Circle,174,0.037371134020618556
Br8325_ant,Excit,7280,0.24502709434216283,Star,2767,0.594286941580756
Br8325_ant,Inhib,4858,0.1635084648783279,Circle,820,0.17611683848797252
Br8325_ant,Micro,4060,0.1366497256908216,Star,124,0.02663230240549828
Br8325_ant,Oligo,4685,0.1576857056309111,Star,489,0.10502577319587629
Br8325_mid,Astro,8279,0.2717366330784127,Circle,255,0.06360688450985283
Br8325_mid,Endo,3299,0.10828109101650966,Circle,81,0.020204539785482666
Br8325_mid,Excit,4707,0.15449502740670235,Star,1944,0.4849089548515839
Br8325_mid,Inhib,3970,0.13030492007746086,Circle,558,0.13918682963332502
Br8325_mid,Micro,3184,0.10450651524600388,Star,115,0.028685457720129707
Br8325_mid,Oligo,7028,0.23067581317491057,Star,1056,0.26340733349962586
Br8492_mid,Astro,4116,0.08497460671373715,Circle,263,0.07820398453761522
Br8492_mid,Endo,4485,0.09259259259259259,Circle,162,0.04817127564674398
Br8492_mid,Inhib,5265,0.10869565217391304,Circle,364,0.10823669342848648
Br8492_mid,Other,34572,0.7137371485197572,Circle,2574,0.7653880463871543
Br8492_post,Astro,15472,0.34997398719717704,Circle,269,0.13959522573949143
Br8492_post,Endo,3337,0.07548236784365174,Circle,91,0.04722366372599896
Br8492_post,Excit,14716,0.3328733968196521,Star,889,0.461338868707836
Br8492_post,Inhib,4980,0.11264674613766427,Circle,194,0.10067462376751427
Br8492_post,Micro,2192,0.04958266416340564,Star,104,0.05396990140114167
Br8492_post,Oligo,3512,0.07944083783844919,Star,380,0.19719771665801764
Br8667_ant,Astro,18926,0.4519533861877925,Circle,201,0.0472385428907168
Br8667_ant,Endo,2679,0.06397459165154265,Circle,126,0.029612220916568743
Br8667_ant,Excit,6006,0.14342344063425352,Star,1793,0.42138660399529965
Br8667_ant,Inhib,3154,0.07531760435571688,Circle,192,0.04512338425381904
Br8667_ant,Micro,2065,0.049312255229725856,Star,77,0.01809635722679201
Br8667_ant,Oligo,9046,0.21601872194096858,Star,1866,0.43854289071680375
Br8667_mid,Astro,4290,0.15783083771752326,Circle,128,0.06037735849056604
Br8667_mid,Endo,2027,0.07457415106140318,Circle,81,0.03820754716981132
Br8667_mid,Excit,14086,0.5182296457083992,Star,1322,0.6235849056603774
Br8667_mid,Inhib,4848,0.17835988374232,Circle,151,0.07122641509433962
Br8667_mid,Micro,903,0.033221735771310844,Star,60,0.02830188679245283
Br8667_mid,Oligo,1027,0.03778374599904345,Star,378,0.17830188679245282
