SAMPLE_ID,Sample,Combo,cell_type,n_cell,prop,n_cell_sn,prop_sn
Br6522M_STAR,Br6522_mid,Star,Excit,10863,0.26608695652173914,452,0.4788135593220339
Br6522M_STAR,Br6522_mid,Star,Micro,729,0.017856705450091857,49,0.05190677966101695
Br6522M_STAR,Br6522_mid,Star,Oligo,4302,0.10537660747091243,200,0.211864406779661
Br6522M_STAR,Br6522_mid,Star,Other,24931,0.6106797305572566,243,0.2574152542372881
Br6522P_CIRCLE,Br6522_post,Circle,Astro,13069,0.29001619954286223,51,0.05537459283387622
Br6522P_CIRCLE,Br6522_post,Circle,Endo,3952,0.0876994430020194,43,0.04668838219326819
Br6522P_CIRCLE,Br6522_post,Circle,Inhib,3570,0.07922242194261367,60,0.06514657980456026
Br6522P_CIRCLE,Br6522_post,Circle,Other,24472,0.5430619355125047,767,0.8327904451682954
Br6522P_STAR,Br6522_post,Star,Excit,11539,0.2692756464109026,449,0.48751357220412594
Br6522P_STAR,Br6522_post,Star,Micro,661,0.015425184355455987,34,0.03691639522258415
Br6522P_STAR,Br6522_post,Star,Oligo,5953,0.13892000373378138,284,0.30836047774158526
Br6522P_STAR,Br6522_post,Star,Other,24699,0.57637916549986,154,0.16720955483170466
Br8325A_CIRCLE,Br8325_ant,Circle,Astro,6036,0.15334197088636536,282,0.06056701030927835
Br8325A_CIRCLE,Br8325_ant,Circle,Endo,3058,0.07768716815283389,174,0.037371134020618556
Br8325A_CIRCLE,Br8325_ant,Circle,Inhib,4966,0.1261590834031959,820,0.17611683848797252
Br8325A_CIRCLE,Br8325_ant,Circle,Other,25303,0.6428117775576049,3380,0.7259450171821306
Br8325A_STAR,Br8325_ant,Star,Excit,7724,0.22208804163431956,2767,0.594286941580756
Br8325A_STAR,Br8325_ant,Star,Micro,4086,0.11748468903648754,124,0.02663230240549828
Br8325A_STAR,Br8325_ant,Star,Oligo,4712,0.13548405647085884,489,0.10502577319587629
Br8325A_STAR,Br8325_ant,Star,Other,18257,0.524943212858334,1276,0.27405498281786944
Br8325M_CIRCLE,Br8325_mid,Circle,Astro,8833,0.21618777228449754,255,0.06360688450985283
Br8325M_CIRCLE,Br8325_mid,Circle,Endo,3379,0.082701062215478,81,0.020204539785482666
Br8325M_CIRCLE,Br8325_mid,Circle,Inhib,4094,0.10020069509031279,558,0.13918682963332502
Br8325M_CIRCLE,Br8325_mid,Circle,Other,24552,0.6009104704097117,3115,0.7770017460713395
Br8325M_STAR,Br8325_mid,Star,Excit,5237,0.13295590139379015,1944,0.4849089548515839
Br8325M_STAR,Br8325_mid,Star,Micro,3230,0.08200258955545965,115,0.028685457720129707
Br8325M_STAR,Br8325_mid,Star,Oligo,7278,0.18477239838533602,1056,0.26340733349962586
Br8325M_STAR,Br8325_mid,Star,Other,23644,0.6002691106654142,894,0.22299825392866052
Br8492M_CIRCLE,Br8492_mid,Circle,Astro,4151,0.08488752556237218,263,0.07820398453761522
Br8492M_CIRCLE,Br8492_mid,Circle,Endo,4588,0.0938241308793456,162,0.04817127564674398
Br8492M_CIRCLE,Br8492_mid,Circle,Inhib,5310,0.10858895705521472,364,0.10823669342848648
Br8492M_CIRCLE,Br8492_mid,Circle,Other,34851,0.7126993865030675,2574,0.7653880463871543
Br8492P_CIRCLE,Br8492_post,Circle,Astro,15827,0.25691513538081945,269,0.13959522573949143
Br8492P_CIRCLE,Br8492_post,Circle,Endo,3480,0.05648983832218687,91,0.04722366372599896
Br8492P_CIRCLE,Br8492_post,Circle,Inhib,5066,0.08223491981040192,194,0.10067462376751427
Br8492P_CIRCLE,Br8492_post,Circle,Other,37231,0.6043601064865918,1373,0.7125064867669954
Br8492P_STAR,Br8492_post,Star,Excit,15083,0.24739207453090145,889,0.461338868707836
Br8492P_STAR,Br8492_post,Star,Micro,2214,0.03631413200367406,104,0.05396990140114167
Br8492P_STAR,Br8492_post,Star,Oligo,3550,0.058227266762892006,380,0.19719771665801764
Br8492P_STAR,Br8492_post,Star,Other,40121,0.6580665267025325,554,0.28749351323300465
Br8667A_CIRCLE,Br8667_ant,Circle,Astro,19970,0.38045341969899027,201,0.0472385428907168
Br8667A_CIRCLE,Br8667_ant,Circle,Endo,2780,0.052962469041722235,126,0.029612220916568743
Br8667A_CIRCLE,Br8667_ant,Circle,Inhib,3181,0.060602019432272815,192,0.04512338425381904
Br8667A_CIRCLE,Br8667_ant,Circle,Other,26559,0.5059820918270147,3736,0.8780258519388954
Br8667A_STAR,Br8667_ant,Star,Excit,6267,0.13906270802822526,1793,0.42138660399529965
Br8667A_STAR,Br8667_ant,Star,Micro,2080,0.046154528913149605,77,0.01809635722679201
Br8667A_STAR,Br8667_ant,Star,Oligo,9141,0.20283584076687525,1866,0.43854289071680375
Br8667A_STAR,Br8667_ant,Star,Other,27578,0.6119469222917499,519,0.12197414806110458
Br8667M_CIRCLE,Br8667_mid,Circle,Astro,4570,0.09098329650202075,128,0.06037735849056604
Br8667M_CIRCLE,Br8667_mid,Circle,Endo,2168,0.04316231659001772,81,0.03820754716981132
Br8667M_CIRCLE,Br8667_mid,Circle,Inhib,5231,0.10414302494574847,151,0.07122641509433962
Br8667M_CIRCLE,Br8667_mid,Circle,Other,38260,0.7617113619622131,1760,0.8301886792452831
Br8667M_STAR,Br8667_mid,Star,Excit,15322,0.3343881626328539,1322,0.6235849056603774
Br8667M_STAR,Br8667_mid,Star,Micro,908,0.019816241461338688,60,0.02830188679245283
Br8667M_STAR,Br8667_mid,Star,Oligo,1034,0.022566072324916524,378,0.17830188679245282
Br8667M_STAR,Br8667_mid,Star,Other,28557,0.6232295235808909,360,0.16981132075471697
