SAMPLE_ID,Sample,Combo,cell_type,n_cell,prop,n_cell_sn,prop_sn
Br6423P_CIRCLE,Br6423_post,Circle,Astro,9343,0.21570890956525754,420,0.1554979637171418
Br6423P_CIRCLE,Br6423_post,Circle,Endo,1434,0.03310784291090435,175,0.06479081821547575
Br6423P_CIRCLE,Br6423_post,Circle,Inhib,4251,0.09814605314801561,196,0.07256571640133284
Br6423P_CIRCLE,Br6423_post,Circle,Other,28285,0.6530371943758225,1910,0.7071455016660496
Br6423P_STAR,Br6423_post,Star,Excit,13423,0.31473188116954676,978,0.36208811551277303
Br6423P_STAR,Br6423_post,Star,Micro,1085,0.025440221341649277,124,0.04590892262125139
Br6423P_STAR,Br6423_post,Star,Oligo,1903,0.044620037984477945,808,0.2991484635320252
Br6423P_STAR,Br6423_post,Star,Other,26238,0.615207859504326,791,0.2928544983339504
Br6432A_CIRCLE,Br6432_ant,Circle,Astro,13945,0.24053471323846484,136,0.04644808743169399
Br6432A_CIRCLE,Br6432_ant,Circle,Endo,3005,0.051832686502802934,37,0.012636612021857924
Br6432A_CIRCLE,Br6432_ant,Circle,Inhib,3491,0.06021561017680035,1806,0.6168032786885246
Br6432A_CIRCLE,Br6432_ant,Circle,Other,37534,0.6474169900819319,949,0.3241120218579235
Br6432A_STAR,Br6432_ant,Star,Excit,1535,0.028727027735149905,181,0.06181693989071038
Br6432A_STAR,Br6432_ant,Star,Micro,5367,0.1004416663547554,37,0.012636612021857924
Br6432A_STAR,Br6432_ant,Star,Oligo,6091,0.1139910918142007,731,0.2496584699453552
Br6432A_STAR,Br6432_ant,Star,Other,40441,0.756840214095894,1979,0.6758879781420765
Br6432M_CIRCLE,Br6432_mid,Circle,Astro,7708,0.16549295774647887,NA,NA
Br6432M_CIRCLE,Br6432_mid,Circle,Endo,1327,0.028491068361387838,NA,NA
Br6432M_CIRCLE,Br6432_mid,Circle,Inhib,4946,0.10619203023016145,NA,NA
Br6432M_CIRCLE,Br6432_mid,Circle,Other,32595,0.6998239436619719,NA,NA
Br6432P_CIRCLE,Br6432_post,Circle,Astro,17504,0.3774528830810368,NA,NA
Br6432P_CIRCLE,Br6432_post,Circle,Endo,2358,0.05084745762711865,NA,NA
Br6432P_CIRCLE,Br6432_post,Circle,Inhib,3630,0.07827662052011904,NA,NA
Br6432P_CIRCLE,Br6432_post,Circle,Other,22882,0.49342303877172555,NA,NA
Br6432P_STAR,Br6432_post,Star,Excit,3353,0.10955010291763322,NA,NA
Br6432P_STAR,Br6432_post,Star,Micro,2242,0.07325121704185317,NA,NA
Br6432P_STAR,Br6432_post,Star,Oligo,8104,0.26477603162675206,NA,NA
Br6432P_STAR,Br6432_post,Star,Other,16908,0.5524226484137615,NA,NA
Br6471A_CIRCLE,Br6471_ant,Circle,Astro,3862,0.09377883541353019,8,0.00251414204902577
Br6471A_CIRCLE,Br6471_ant,Circle,Endo,2591,0.06291583701617211,8,0.00251414204902577
Br6471A_CIRCLE,Br6471_ant,Circle,Inhib,5357,0.130081103394687,2476,0.7781269641734758
Br6471A_CIRCLE,Br6471_ant,Circle,Other,29372,0.7132242241756107,690,0.21684475172847265
Br6471A_STAR,Br6471_ant,Star,Excit,7029,0.15812917594654788,660,0.20741671904462602
Br6471A_STAR,Br6471_ant,Star,Micro,1362,0.030640480529121956,NA,NA
Br6471A_STAR,Br6471_ant,Star,Oligo,12256,0.2757193313986187,30,0.009428032683846637
Br6471A_STAR,Br6471_ant,Star,Other,23804,0.5355110121257115,2492,0.7831552482715274
Br6471M_CIRCLE,Br6471_mid,Circle,Astro,22371,0.3885203195554012,347,0.07724844167408727
Br6471M_CIRCLE,Br6471_mid,Circle,Endo,2110,0.03664466828759986,219,0.048753339269813
Br6471M_CIRCLE,Br6471_mid,Circle,Inhib,6132,0.10649531087183049,585,0.13023152270703472
Br6471M_CIRCLE,Br6471_mid,Circle,Other,26967,0.46833970128516844,3341,0.743766696349065
Br6471M_STAR,Br6471_mid,Star,Excit,11159,0.19263901116923024,1819,0.4049421193232413
Br6471M_STAR,Br6471_mid,Star,Micro,939,0.016210057486146356,141,0.03138913624220837
Br6471M_STAR,Br6471_mid,Star,Oligo,10145,0.17513422065703385,1381,0.30743544078361534
Br6471M_STAR,Br6471_mid,Star,Other,35684,0.6160167106875896,1151,0.256233303650935
Br6522M_CIRCLE,Br6522_mid,Circle,Astro,17634,0.5299951911517191,69,0.07309322033898305
Br6522M_CIRCLE,Br6522_mid,Circle,Endo,2249,0.06759437364751142,77,0.0815677966101695
Br6522M_CIRCLE,Br6522_mid,Circle,Inhib,566,0.017011300793459968,97,0.1027542372881356
Br6522M_CIRCLE,Br6522_mid,Circle,Other,12823,0.38539913440730944,701,0.7425847457627118
Br6522M_STAR,Br6522_mid,Star,Excit,10288,0.25726431607901973,452,0.4788135593220339
Br6522M_STAR,Br6522_mid,Star,Micro,723,0.01807951987996999,49,0.05190677966101695
Br6522M_STAR,Br6522_mid,Star,Oligo,4268,0.1067266816704176,200,0.211864406779661
Br6522M_STAR,Br6522_mid,Star,Other,24711,0.6179294823705926,243,0.2574152542372881
Br6522P_CIRCLE,Br6522_post,Circle,Astro,12404,0.2855629992863227,51,0.05537459283387622
Br6522P_CIRCLE,Br6522_post,Circle,Endo,3837,0.08833482975343601,43,0.04668838219326819
Br6522P_CIRCLE,Br6522_post,Circle,Inhib,3455,0.07954048391923936,60,0.06514657980456026
Br6522P_CIRCLE,Br6522_post,Circle,Other,23741,0.5465616870410019,767,0.8327904451682954
Br6522P_STAR,Br6522_post,Star,Excit,11080,0.2633580528617608,449,0.48751357220412594
Br6522P_STAR,Br6522_post,Star,Micro,656,0.015592317931165622,34,0.03691639522258415
Br6522P_STAR,Br6522_post,Star,Oligo,5860,0.13928503517779045,284,0.30836047774158526
Br6522P_STAR,Br6522_post,Star,Other,24476,0.5817645940292832,154,0.16720955483170466
Br8325A_CIRCLE,Br8325_ant,Circle,Astro,5860,0.15322664993201549,282,0.06056701030927835
Br8325A_CIRCLE,Br8325_ant,Circle,Endo,2968,0.07760694488024265,174,0.037371134020618556
Br8325A_CIRCLE,Br8325_ant,Circle,Inhib,4858,0.12702646166718962,820,0.17611683848797252
Br8325A_CIRCLE,Br8325_ant,Circle,Other,24558,0.6421399435205523,3380,0.7259450171821306
Br8325A_STAR,Br8325_ant,Star,Excit,7280,0.21343966224932567,2767,0.594286941580756
Br8325A_STAR,Br8325_ant,Star,Micro,4060,0.11903365779289317,124,0.02663230240549828
Br8325A_STAR,Br8325_ant,Star,Oligo,4685,0.13735780462061686,489,0.10502577319587629
Br8325A_STAR,Br8325_ant,Star,Other,18083,0.5301688753371643,1276,0.27405498281786944
Br8325M_CIRCLE,Br8325_mid,Circle,Astro,8279,0.2114309063513548,255,0.06360688450985283
Br8325M_CIRCLE,Br8325_mid,Circle,Endo,3299,0.0842505809944582,81,0.020204539785482666
Br8325M_CIRCLE,Br8325_mid,Circle,Inhib,3970,0.10138672523431315,558,0.13918682963332502
Br8325M_CIRCLE,Br8325_mid,Circle,Other,23609,0.6029317874198739,3115,0.7770017460713395
Br8325M_STAR,Br8325_mid,Star,Excit,4707,0.12411010915994304,1944,0.4849089548515839
Br8325M_STAR,Br8325_mid,Star,Micro,3184,0.08395296102937298,115,0.028685457720129707
Br8325M_STAR,Br8325_mid,Star,Oligo,7028,0.18530823181985973,1056,0.26340733349962586
Br8325M_STAR,Br8325_mid,Star,Other,23007,0.6066286979908242,894,0.22299825392866052
Br8492M_CIRCLE,Br8492_mid,Circle,Astro,4116,0.08497460671373715,263,0.07820398453761522
Br8492M_CIRCLE,Br8492_mid,Circle,Endo,4485,0.09259259259259259,162,0.04817127564674398
Br8492M_CIRCLE,Br8492_mid,Circle,Inhib,5265,0.10869565217391304,364,0.10823669342848648
Br8492M_CIRCLE,Br8492_mid,Circle,Other,34572,0.7137371485197572,2574,0.7653880463871543
Br8492P_CIRCLE,Br8492_post,Circle,Astro,15472,0.25665610536967304,269,0.13959522573949143
Br8492P_CIRCLE,Br8492_post,Circle,Endo,3337,0.055355572881243466,91,0.04722366372599896
Br8492P_CIRCLE,Br8492_post,Circle,Inhib,4980,0.08261035449463365,194,0.10067462376751427
Br8492P_CIRCLE,Br8492_post,Circle,Other,36494,0.6053779672544498,1373,0.7125064867669954
Br8492P_STAR,Br8492_post,Star,Excit,14716,0.2441760138050043,889,0.461338868707836
Br8492P_STAR,Br8492_post,Star,Micro,2192,0.03637087675051437,104,0.05396990140114167
Br8492P_STAR,Br8492_post,Star,Oligo,3512,0.05827304705648105,380,0.19719771665801764
Br8492P_STAR,Br8492_post,Star,Other,39848,0.6611800623880003,554,0.28749351323300465
Br8667A_CIRCLE,Br8667_ant,Circle,Astro,18926,0.3737214170056475,201,0.0472385428907168
Br8667A_CIRCLE,Br8667_ant,Circle,Endo,2679,0.05290075431460053,126,0.029612220916568743
Br8667A_CIRCLE,Br8667_ant,Circle,Inhib,3154,0.0622803206824375,192,0.04512338425381904
Br8667A_CIRCLE,Br8667_ant,Circle,Other,25883,0.5110975079973145,3736,0.8780258519388954
Br8667A_STAR,Br8667_ant,Star,Excit,6006,0.13574415188156855,1793,0.42138660399529965
Br8667A_STAR,Br8667_ant,Star,Micro,2065,0.04667194033224093,77,0.01809635722679201
Br8667A_STAR,Br8667_ant,Star,Oligo,9046,0.2044524805062719,1866,0.43854289071680375
Br8667A_STAR,Br8667_ant,Star,Other,27128,0.6131314272799187,519,0.12197414806110458
Br8667M_CIRCLE,Br8667_mid,Circle,Astro,4290,0.09066700481866599,128,0.06037735849056604
Br8667M_CIRCLE,Br8667_mid,Circle,Endo,2027,0.04283963141432074,81,0.03820754716981132
Br8667M_CIRCLE,Br8667_mid,Circle,Inhib,4848,0.10246005579507989,151,0.07122641509433962
Br8667M_CIRCLE,Br8667_mid,Circle,Other,36151,0.7640333079719334,1760,0.8301886792452831
Br8667M_STAR,Br8667_mid,Star,Excit,14086,0.3180976468994174,1322,0.6235849056603774
Br8667M_STAR,Br8667_mid,Star,Micro,903,0.020392032880177047,60,0.02830188679245283
Br8667M_STAR,Br8667_mid,Star,Oligo,1027,0.023192267738584526,378,0.17830188679245282
Br8667M_STAR,Br8667_mid,Star,Other,28266,0.638318052481821,360,0.16981132075471697
