SAMPLE_ID,Sample,Combo,cell_type,Confidence,sum_area,area_prop
Br8325M_CIRCLE,Br8325_mid,Circle,Other,OK,615206.700459,0.5937873258595453
Br8325M_STAR,Br8325_mid,Star,Excit,OK,170033.814927,0.14914356137936985
Br8325M_STAR,Br8325_mid,Star,Micro,OK,93687.509716,0.08217711789744578
Br8325M_STAR,Br8325_mid,Star,Oligo,OK,249902.971435,0.21920004073956958
Br8325M_STAR,Br8325_mid,Star,Other,OK,626443.792376,0.5494792799836148
Br8492M_CIRCLE,Br8492_mid,Circle,Astro,High,103091.112032,0.08168793650460059
Br8492M_CIRCLE,Br8492_mid,Circle,Endo,High,122785.704686,0.09729365267637437
Br8492M_CIRCLE,Br8492_mid,Circle,Inhib,High,159264.891173,0.1261992431851329
Br8492M_CIRCLE,Br8492_mid,Circle,Other,High,876869.752347,0.6948191676338922
Br8492P_CIRCLE,Br8492_post,Circle,Astro,High,103806.992581,0.06401851762580568
Br8492P_CIRCLE,Br8492_post,Circle,Endo,High,102891.422135,0.06345387875825365
Br8492P_CIRCLE,Br8492_post,Circle,Inhib,High,186305.926698,0.11489620261179787
Br8492P_CIRCLE,Br8492_post,Circle,Other,High,1228510.751887,0.7576314010041428
Br8492P_STAR,Br8492_post,Star,Excit,High,466685.949257,0.2971036013725449
Br8492P_STAR,Br8492_post,Star,Micro,High,62828.630539,0.039998230999156156
Br8492P_STAR,Br8492_post,Star,Oligo,High,83147.200447,0.05293352571719414
Br8492P_STAR,Br8492_post,Star,Other,High,958123.451242,0.6099646419111049
Br8667A_CIRCLE,Br8667_ant,Circle,Astro,Low,485233.32839,0.42043065695513593
Br8667A_CIRCLE,Br8667_ant,Circle,Endo,Low,75753.106612,0.06563631662513802
Br8667A_CIRCLE,Br8667_ant,Circle,Inhib,Low,83232.799623,0.07211710032742726
Br8667A_CIRCLE,Br8667_ant,Circle,Other,Low,509914.795239,0.4418159260922988
Br8667A_STAR,Br8667_ant,Star,Excit,Low,278286.336651,0.2968996507387611
Br8667A_STAR,Br8667_ant,Star,Micro,Low,43968.026637,0.046908849026853355
Br8667A_STAR,Br8667_ant,Star,Other,Low,615053.363274,0.6561915002343855
Br8667M_CIRCLE,Br8667_mid,Circle,Astro,High,119995.112062,0.08630092734797637
Br8667M_CIRCLE,Br8667_mid,Circle,Endo,High,59525.493928,0.042810954867715426
Br8667M_CIRCLE,Br8667_mid,Circle,Inhib,High,191162.084378,0.13748447642658537
Br8667M_CIRCLE,Br8667_mid,Circle,Other,High,1019743.991586,0.7334036413577228
Br8667M_STAR,Br8667_mid,Star,Excit,OK,488618.850744,0.36437359309217593
Br8667M_STAR,Br8667_mid,Star,Micro,OK,20176.666977,0.015046174808522815
Br8667M_STAR,Br8667_mid,Star,Oligo,OK,23766.637779,0.01772329329920111
Br8667M_STAR,Br8667_mid,Star,Other,OK,808421.00027,0.6028569388001
