"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.OPC","log2fold_change","Auc"
"194","ENSG00000150893","hurdle",8.76155144498133e-154,-2.54886,-1.238846,1.310014,0.581
"357","ENSG00000243069","hurdle",7.86849664305632e-79,-1.2966814,-0.7209423,0.5757391,0.579
"297","ENSG00000182158","hurdle",1.82259516260221e-51,-1.1962257,-0.5457155,0.6505102,0.579
"201","ENSG00000152518","hurdle",2.06480095810181e-93,-2.13416,-1.155312,0.978848,0.579
"192","ENSG00000150551","hurdle",4.2481346506844e-142,-2.703538,-1.47063,1.232908,0.578
"307","ENSG00000186340","hurdle",1.25794068257538e-95,-2.40146,-1.384623,1.016837,0.576
"231","ENSG00000163520","hurdle",2.12252444138873e-170,-2.987703,-1.68105,1.306653,0.576
"89","ENSG00000112773","hurdle",2.04479660593808e-117,-2.2425889,-0.9763971,1.2661918,0.576
"81","ENSG00000111077","hurdle",1.42956406876208e-73,-2.117295,-1.219668,0.897627,0.576
"76","ENSG00000106948","hurdle",7.45910969123818e-71,-2.05218,-1.19222,0.85996,0.576
"374","ENSG00000265972","hurdle",1.21583633700804e-92,-2.122587,-1.329384,0.793203,0.574
"148","ENSG00000136144","hurdle",7.17255448075594e-44,-1.125281,-0.496625,0.628656,0.574
"355","ENSG00000241316","hurdle",7.08173089673672e-51,-1.1141231,-0.4675416,0.6465815,0.573
"85","ENSG00000112309","hurdle",2.2431078218017e-52,-1.3611732,-0.7632312,0.597942,0.573
"58","ENSG00000102760","hurdle",1.21159235836606e-59,-1.705669,-1.005962,0.699707,0.573
"233","ENSG00000163638","hurdle",1.66033839552969e-83,-1.76984,-1.079491,0.690349,0.572
"154","ENSG00000136859","hurdle",2.61868532805637e-68,-2.110192,-1.217937,0.892255,0.572
"87","ENSG00000112715","hurdle",1.24861172062404e-68,-1.6865443,-0.6562259,1.0303184,0.572
"294","ENSG00000181938","hurdle",3.33315617631183e-85,-2.281951,-1.129051,1.1529,0.571
"175","ENSG00000144908","hurdle",4.41475715434156e-98,-2.176726,-1.404172,0.772554,0.571
"118","ENSG00000125820","hurdle",2.38800159046573e-130,-2.892059,-1.741932,1.150127,0.571
