Mixture	Inhib	Oligo	OPC	Excit	Astro	EndoMural	Micro	P-value	Correlation	RMSE
AN00000904_Br2720_Post_Bulk	0.00000000000000000	0.05480891292453372	0.10251819336014040	0.72964769724578882	0.01687702012473227	0.08602316241650167	0.01012501392830315	9999.00000000000000000	0.77247545928673622	0.73814601857472539
AN00000904_Br2720_Post_Cyto	0.00000000000000000	0.02132955918140026	0.08467590648064451	0.75869390184642871	0.01225114237925884	0.11803316008934177	0.00501633002292584	9999.00000000000000000	0.48834837274747295	0.87724490088080420
AN00000904_Br2720_Post_Nuc	0.00000000000000000	0.04503634185313696	0.05310134393159454	0.76291248496795350	0.01602344565117247	0.11496223712049554	0.00796414647564707	9999.00000000000000000	0.62488783330402831	0.81590431234386185
AN00000904_Br2743_Ant_Bulk	0.00000000000000000	0.06279614240257810	0.13507210563346675	0.70471927880700402	0.01396573260571743	0.06821675287958039	0.01522998767165311	9999.00000000000000000	0.60287941186350169	0.82154237100787109
AN00000904_Br2743_Ant_Nuc	0.00000000000000000	0.03895250277151434	0.10660358028108048	0.64254604277476468	0.01887825214256768	0.18993812068468921	0.00308150134538348	9999.00000000000000000	0.60599868344728680	0.82935459171470371
AN00000904_Br3942_Ant_Bulk	0.00000000000000000	0.07144748368682825	0.05744253373508286	0.66012804658430979	0.08556061556625279	0.11271260152049128	0.01270871890703508	9999.00000000000000000	0.75566658947775633	0.75566854578664200
AN00000904_Br3942_Ant_Cyto	0.00000000000000000	0.03669576554989130	0.10613195996606446	0.56978071289374888	0.08598044050672851	0.19740812442073552	0.00400299666283138	9999.00000000000000000	0.45779551167261279	0.89272215100342323
AN00000904_Br3942_Ant_Nuc	0.00000000000000000	0.05547787296790139	0.05517986066403893	0.62898213619352517	0.10426116127266702	0.14650754095314042	0.00959142794872711	9999.00000000000000000	0.60527907225522226	0.82672495273432312
AN00000904_Br3942_Mid_Bulk	0.00000000000000000	0.06984481040291740	0.13223024165860736	0.59347827120894359	0.07599465375185828	0.11578899345718023	0.01266302952049301	9999.00000000000000000	0.79830351638629127	0.72830663645344929
AN00000904_Br3942_Mid_Cyto	0.00000000000000000	0.01981262254291508	0.10926662522668863	0.62881499156860987	0.05311852789978672	0.18444355139693505	0.00454368136506471	9999.00000000000000000	0.49921935812023838	0.87495336029108417
AN00000904_Br3942_Mid_Nuc	0.00000000000000000	0.02902662772821252	0.08058101863331973	0.63958043676104614	0.05743302931607637	0.18745416244637164	0.00592472511497371	9999.00000000000000000	0.62323555132608710	0.82268313635243462
AN00000904_Br6423_Ant_Bulk	0.00000000000000000	0.06370041226748188	0.13675497354906388	0.56514412625886001	0.12625889668952506	0.08891688305204809	0.01922470818302091	9999.00000000000000000	0.82663243582427215	0.69465458453503637
AN00000904_Br6423_Ant_Cyto	0.00000000000000000	0.02714337104553620	0.10580478750265761	0.60567538163624901	0.11675519869602809	0.13591002381409256	0.00871123730543640	9999.00000000000000000	0.61762185740309916	0.81454313148980872
AN00000904_Br6423_Ant_Nuc	0.00000000000000000	0.05839328118461918	0.10294440015062907	0.56829259502788121	0.12487818881828514	0.13594177836103935	0.00954975645754601	9999.00000000000000000	0.63065383603204050	0.80930486681697511
AN00000904_Br6423_Post_Bulk	0.00000000000000000	0.06611759930001977	0.14512613819362993	0.53789607404208828	0.13426120812177689	0.09702100684382173	0.01957797349866334	9999.00000000000000000	0.81487265143444843	0.69858984795985490
AN00000904_Br6423_Post_Cyto	0.00000000000000000	0.02635950589751785	0.11185561992758306	0.59393094414972802	0.11285003201600675	0.14527626609580621	0.00972763191335817	9999.00000000000000000	0.66811434928140201	0.79008056599575960
AN00000904_Br6423_Post_Nuc	0.00000000000000000	0.05005814993379488	0.11255119668874913	0.54002459782023282	0.11433090596448495	0.16885140448377381	0.01418374510896440	9999.00000000000000000	0.64356564130049054	0.80608988835238704
AN00000904_Br6471_Mid_Bulk	0.00000000000000000	0.05228394468804069	0.17916850598179679	0.63948293260608291	0.02447729075550528	0.08782625014237326	0.01676107582620095	9999.00000000000000000	0.77858584045979318	0.72378951949335024
AN00000904_Br6471_Mid_Cyto	0.00000000000000000	0.01987216940536183	0.25214470588004978	0.57383965883796817	0.02112085611366746	0.12498458330104187	0.00803802646191082	9999.00000000000000000	0.65312307986057305	0.78053281241640959
AN00000904_Br6471_Mid_Nuc	0.00000000000000000	0.02355457297066971	0.25245399553731751	0.56057237933904291	0.02723129871714563	0.12306585162656247	0.01312190180926164	9999.00000000000000000	0.70598135596631750	0.74917303246188793
AN00000904_Br6522_Mid_Bulk	0.00000000000000000	0.07123004491958179	0.10220429293426933	0.70135377550762756	0.02834678355207055	0.08415554894460173	0.01270955414184897	9999.00000000000000000	0.75218210129871632	0.75276999880972373
AN00000904_Br6522_Mid_Cyto	0.00000000000000000	0.03331529286412784	0.10916292438619253	0.75001267401139227	0.01849236766951944	0.08581026238941465	0.00320647867935311	9999.00000000000000000	0.43773607451210228	0.89945629358903134
AN00000904_Br6522_Mid_Nuc	0.00000000000000000	0.02294340097069047	0.12147920978278934	0.70035677934320728	0.02308166004667281	0.12932083693240271	0.00281811292423740	9999.00000000000000000	0.67487631409274407	0.78842678227372387
AN00000904_Br6522_Post_Bulk	0.00000000000000000	0.06206669897075216	0.08188600851477507	0.70902546825485391	0.02446129770049035	0.11011562496229992	0.01244490159682851	9999.00000000000000000	0.77513430665328120	0.74497685810361525
AN00000904_Br6522_Post_Cyto	0.00000000000000000	0.02563267179692945	0.08545054683956199	0.75709081626181818	0.02389161170792007	0.10148685113889705	0.00644750225487340	9999.00000000000000000	0.52493733570105072	0.86039445357944599
AN00000904_Br6522_Post_Nuc	0.00000000000000000	0.03558427853101961	0.05370328363410708	0.74391621344070868	0.03463857846371344	0.12308072228278402	0.00907692364766719	9999.00000000000000000	0.67158719954746138	0.79477141972889598
AN00000904_Br8325_Ant_Bulk	0.00323369577010814	0.06067150459250070	0.05606578067293475	0.67837687388382795	0.05684377725003302	0.13266782473285849	0.01214054309773694	9999.00000000000000000	0.78026492731503028	0.74805557986719662
AN00000904_Br8325_Ant_Cyto	0.00000000000000000	0.01490771280131792	0.05552846307749060	0.80305184107758643	0.02451834011545247	0.09992699130638710	0.00206665162176544	9999.00000000000000000	0.47453357003845198	0.88295809734366326
AN00000904_Br8325_Ant_Nuc	0.00000000000000000	0.04378305479225766	0.08614207147913908	0.63701732307193737	0.05227449453523200	0.17446299796310163	0.00632005815833216	9999.00000000000000000	0.61572324233741516	0.82630876619108118
AN00000904_Br8325_Mid_Bulk	0.00000000000000000	0.02817653088951262	0.48618434474879552	0.37828623654577315	0.01606552637887112	0.07782773810924823	0.01345962332779941	9999.00000000000000000	0.76620774439029038	0.64781511348083320
AN00000904_Br8325_Mid_Cyto	0.00000000000000000	0.00790973064646722	0.89246829472819811	0.03461995422964702	0.00769108346162546	0.04613158438019856	0.01117935255386359	9999.00000000000000000	0.77718052861530096	0.74811517620827572
AN00000904_Br8492_Mid_Bulk	0.00000000000000000	0.02534626400867489	0.13250431073579050	0.73648723283920037	0.01131742245862328	0.08296502824534903	0.01137974171236175	9999.00000000000000000	0.65710874806189856	0.79179165532899898
AN00000904_Br8492_Mid_Cyto	0.00000000000000000	0.00641676976481886	0.11008491977703604	0.80651440807635022	0.00603395893502656	0.06878441933804365	0.00216552410872474	9999.00000000000000000	0.50159661288775625	0.86822196729715118
AN00000904_Br8492_Mid_Nuc	0.00000000000000000	0.02853219186443602	0.09105923890223470	0.75460796929104290	0.00952162830487913	0.11185603162850843	0.00442294000889887	9999.00000000000000000	0.63504000226470247	0.80778149204569605
AN00000904_Br8492_Post_Bulk	0.00000000000000000	0.03082769322453749	0.13464183760723825	0.71110102938266451	0.00828967642126322	0.10234276295872893	0.01279700040556743	9999.00000000000000000	0.65657296961654754	0.79430398086887155
AN00000904_Br8492_Post_Cyto	0.00000000000000000	0.01600935631871428	0.18930163202336434	0.62366093952336765	0.00643098455602172	0.16024388979287768	0.00435319778565446	9999.00000000000000000	0.62017355446763889	0.80937683138128769
AN00000904_Br8492_Post_Nuc	0.00000000000000000	0.02237843731922079	0.10061572350607165	0.70468562854183914	0.01413270519014465	0.14694103314219617	0.01124647230052774	9999.00000000000000000	0.63094594870651755	0.81330370572621191
AN00000904_Br8667_Ant_Bulk	0.00000000000000000	0.05616342834779794	0.12285117302904054	0.47699389645076834	0.22398397028564801	0.10167044278603603	0.01833708910070911	9999.00000000000000000	0.78144383089626646	0.68426040279003442
AN00000904_Br8667_Ant_Cyto	0.00000000000000000	0.02169643872008210	0.16551430437434256	0.53867676472834025	0.09715844338612727	0.17183326309920158	0.00512078569190622	9999.00000000000000000	0.55032301688475360	0.84634697487534649
AN00000904_Br8667_Ant_Nuc	0.00000000000000000	0.04894431277457359	0.10339647084471638	0.55948884555675282	0.15658500832644090	0.12153765581033110	0.01004770668718522	9999.00000000000000000	0.63581757577349274	0.79891472862372048
AN00000904_Br8667_Mid_Bulk	0.00000000000000000	0.05495800641798924	0.08673392253192992	0.52240936482985512	0.17308793459068769	0.14521327323059904	0.01759749839893901	9999.00000000000000000	0.80796553575607066	0.69872274536498968
AN00000904_Br8667_Mid_Cyto	0.00000000000000000	0.03685059166625789	0.06683999332404680	0.49237852517952907	0.16207869366261185	0.23245858140067785	0.00939361476687666	9999.00000000000000000	0.61895199736544970	0.81264967321547810
AN00000904_Br8667_Mid_Nuc	0.00000000000000000	0.05208847292261436	0.05960163632377520	0.56447161463807094	0.14631044739246876	0.16284089015823475	0.01468693856483615	9999.00000000000000000	0.61996588680073994	0.81371105474708039
AN00000906_Br2720_Post_Bulk	0.08263764102986373	0.06887824125401733	0.09080425320926094	0.58566658538015970	0.06960869280392998	0.07479698836483517	0.02760759795793310	9999.00000000000000000	0.87492705308585728	0.69661199713323319
AN00000906_Br2720_Post_Cyto	0.09713393248171430	0.06275628022496368	0.08016534077246197	0.56937929249453823	0.06361082645737327	0.10033651431509120	0.02661781325385752	9999.00000000000000000	0.85413730400740062	0.71490191189715513
AN00000906_Br2720_Post_Nuc	0.10108936699395965	0.07865143070095401	0.05648770829120939	0.60868155424359527	0.05754146768039414	0.07350077671715299	0.02404769537273452	9999.00000000000000000	0.82568570921945128	0.72759979327755409
AN00000906_Br2743_Ant_Bulk	0.04612433313851709	0.09030062008565583	0.14813773844596198	0.53701093114732501	0.08219811710355997	0.07019460202684037	0.02603365805213973	9999.00000000000000000	0.83134455234023030	0.70699954797255027
AN00000906_Br2743_Ant_Cyto	0.00000000000000000	0.05072719138707407	0.08089868956046445	0.68532331335269092	0.07176508086007427	0.09792731276765312	0.01335841207204319	9999.00000000000000000	0.74255823507049135	0.75802999719083874
AN00000906_Br2743_Ant_Nuc	0.00000000000000000	0.07541363469109498	0.08157375471702404	0.64295754507383918	0.04703154819521430	0.13122947023659876	0.02179404708622897	9999.00000000000000000	0.75196417161352802	0.76472951094960773
AN00000906_Br3942_Ant_Bulk	0.06288195127952682	0.08862101571118543	0.03945525783233478	0.42772207293084913	0.27236942640358242	0.08561520915483081	0.02333506668769059	9999.00000000000000000	0.91353723363073880	0.55273450487101961
AN00000906_Br3942_Ant_Cyto	0.05510908304168412	0.06308515488642759	0.07489389840502658	0.35576979890350235	0.31886504886028677	0.11272978211024835	0.01954723379282428	9999.00000000000000000	0.81203816358397063	0.61883418085642050
AN00000906_Br3942_Ant_Nuc	0.06538136682477221	0.09325639542552833	0.04833451923424158	0.40906559938703202	0.25897694621615802	0.10361112390084938	0.02137404901141853	9999.00000000000000000	0.90936538702395031	0.57064552407204894
