SAMPLE_ID,Dataset,BrNum,pos,library_prep,cell_type,prop,method,marker,Sample,RNAscope_prop,library_type,rna_extract,library_combo
2107UNHS-0291_Br6471_Ant_Cyto,2107UNHS-0291,Br6471,Ant,Cyto,Micro,0.05501205321529757,Bisque,1vALL_top25,Br6471_ant,NA,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br6471_Ant_Cyto,2107UNHS-0291,Br6471,Ant,Cyto,Oligo,0.22020017249307386,Bisque,1vALL_top25,Br6471_ant,NA,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br6471_Ant_Cyto,2107UNHS-0291,Br6471,Ant,Cyto,OPC,0.02611517951480083,Bisque,1vALL_top25,Br6471_ant,NA,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br6471_Ant_Cyto,2107UNHS-0291,Br6471,Ant,Cyto,Excit,0.5246666539246192,Bisque,1vALL_top25,Br6471_ant,NA,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br6471_Ant_Cyto,2107UNHS-0291,Br6471,Ant,Cyto,Inhib,0.06166936633497818,Bisque,1vALL_top25,Br6471_ant,NA,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br6471_Ant_Nuc,2107UNHS-0291,Br6471,Ant,Nuc,Astro,0.046841444099598395,Bisque,1vALL_top25,Br6471_ant,NA,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br6471_Ant_Nuc,2107UNHS-0291,Br6471,Ant,Nuc,EndoMural,0.08522299211567161,Bisque,1vALL_top25,Br6471_ant,NA,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br6471_Ant_Nuc,2107UNHS-0291,Br6471,Ant,Nuc,Micro,0.05605612140683712,Bisque,1vALL_top25,Br6471_ant,NA,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br6471_Ant_Nuc,2107UNHS-0291,Br6471,Ant,Nuc,Oligo,0.22785101612702457,Bisque,1vALL_top25,Br6471_ant,NA,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br6471_Ant_Nuc,2107UNHS-0291,Br6471,Ant,Nuc,OPC,0.03937586431516367,Bisque,1vALL_top25,Br6471_ant,NA,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br6471_Ant_Nuc,2107UNHS-0291,Br6471,Ant,Nuc,Excit,0.49700174461794916,Bisque,1vALL_top25,Br6471_ant,NA,polyA,Nuc,polyA_Nuc
2107UNHS-0291_Br6471_Ant_Nuc,2107UNHS-0291,Br6471,Ant,Nuc,Inhib,0.047650817317755514,Bisque,1vALL_top25,Br6471_ant,NA,polyA,Nuc,polyA_Nuc
2107UNHS-0293_Br2720_Mid_Bulk,2107UNHS-0293,Br2720,Mid,Bulk,Astro,0.06757171011686186,Bisque,1vALL_top25,Br2720_mid,NA,RiboZeroGold,Total,RiboZeroGold_Total
2107UNHS-0293_Br2720_Mid_Bulk,2107UNHS-0293,Br2720,Mid,Bulk,EndoMural,0,Bisque,1vALL_top25,Br2720_mid,NA,RiboZeroGold,Total,RiboZeroGold_Total
2107UNHS-0293_Br2720_Mid_Bulk,2107UNHS-0293,Br2720,Mid,Bulk,Micro,0,Bisque,1vALL_top25,Br2720_mid,NA,RiboZeroGold,Total,RiboZeroGold_Total
2107UNHS-0293_Br2720_Mid_Bulk,2107UNHS-0293,Br2720,Mid,Bulk,Oligo,0.14371406921569727,Bisque,1vALL_top25,Br2720_mid,NA,RiboZeroGold,Total,RiboZeroGold_Total
2107UNHS-0293_Br2720_Mid_Bulk,2107UNHS-0293,Br2720,Mid,Bulk,OPC,0.011419452719823392,Bisque,1vALL_top25,Br2720_mid,NA,RiboZeroGold,Total,RiboZeroGold_Total
2107UNHS-0293_Br2720_Mid_Bulk,2107UNHS-0293,Br2720,Mid,Bulk,Excit,0.4135560508352406,Bisque,1vALL_top25,Br2720_mid,NA,RiboZeroGold,Total,RiboZeroGold_Total
2107UNHS-0293_Br2720_Mid_Bulk,2107UNHS-0293,Br2720,Mid,Bulk,Inhib,0.363738717112377,Bisque,1vALL_top25,Br2720_mid,NA,RiboZeroGold,Total,RiboZeroGold_Total
2107UNHS-0293_Br2720_Mid_Cyto,2107UNHS-0293,Br2720,Mid,Cyto,Astro,0.07029909333362877,Bisque,1vALL_top25,Br2720_mid,NA,RiboZeroGold,Cyto,RiboZeroGold_Cyto
2107UNHS-0293_Br2720_Mid_Cyto,2107UNHS-0293,Br2720,Mid,Cyto,EndoMural,0,Bisque,1vALL_top25,Br2720_mid,NA,RiboZeroGold,Cyto,RiboZeroGold_Cyto
2107UNHS-0293_Br2720_Mid_Cyto,2107UNHS-0293,Br2720,Mid,Cyto,Micro,0.0073989701046710266,Bisque,1vALL_top25,Br2720_mid,NA,RiboZeroGold,Cyto,RiboZeroGold_Cyto
2107UNHS-0293_Br2720_Mid_Cyto,2107UNHS-0293,Br2720,Mid,Cyto,Oligo,0.13674525241478988,Bisque,1vALL_top25,Br2720_mid,NA,RiboZeroGold,Cyto,RiboZeroGold_Cyto
2107UNHS-0293_Br2720_Mid_Cyto,2107UNHS-0293,Br2720,Mid,Cyto,OPC,0.05304184506595004,Bisque,1vALL_top25,Br2720_mid,NA,RiboZeroGold,Cyto,RiboZeroGold_Cyto
2107UNHS-0293_Br2720_Mid_Cyto,2107UNHS-0293,Br2720,Mid,Cyto,Excit,0.4744367895972933,Bisque,1vALL_top25,Br2720_mid,NA,RiboZeroGold,Cyto,RiboZeroGold_Cyto
2107UNHS-0293_Br2720_Mid_Cyto,2107UNHS-0293,Br2720,Mid,Cyto,Inhib,0.258078049483667,Bisque,1vALL_top25,Br2720_mid,NA,RiboZeroGold,Cyto,RiboZeroGold_Cyto
2107UNHS-0293_Br6432_Ant_Bulk,2107UNHS-0293,Br6432,Ant,Bulk,Astro,0.09818298878711434,Bisque,1vALL_top25,Br6432_ant,NA,RiboZeroGold,Total,RiboZeroGold_Total
2107UNHS-0293_Br6432_Ant_Bulk,2107UNHS-0293,Br6432,Ant,Bulk,EndoMural,0,Bisque,1vALL_top25,Br6432_ant,NA,RiboZeroGold,Total,RiboZeroGold_Total
2107UNHS-0293_Br6432_Ant_Bulk,2107UNHS-0293,Br6432,Ant,Bulk,Micro,0,Bisque,1vALL_top25,Br6432_ant,NA,RiboZeroGold,Total,RiboZeroGold_Total
2107UNHS-0293_Br6432_Ant_Bulk,2107UNHS-0293,Br6432,Ant,Bulk,Oligo,0.08881013205446624,Bisque,1vALL_top25,Br6432_ant,NA,RiboZeroGold,Total,RiboZeroGold_Total
2107UNHS-0293_Br6432_Ant_Bulk,2107UNHS-0293,Br6432,Ant,Bulk,OPC,0.04275000486432633,Bisque,1vALL_top25,Br6432_ant,NA,RiboZeroGold,Total,RiboZeroGold_Total
2107UNHS-0293_Br6432_Ant_Bulk,2107UNHS-0293,Br6432,Ant,Bulk,Excit,0.36070750984203714,Bisque,1vALL_top25,Br6432_ant,NA,RiboZeroGold,Total,RiboZeroGold_Total
2107UNHS-0293_Br6432_Ant_Bulk,2107UNHS-0293,Br6432,Ant,Bulk,Inhib,0.4095493644520559,Bisque,1vALL_top25,Br6432_ant,NA,RiboZeroGold,Total,RiboZeroGold_Total
2107UNHS-0293_Br6432_Ant_Cyto,2107UNHS-0293,Br6432,Ant,Cyto,Astro,0.11427054030308381,Bisque,1vALL_top25,Br6432_ant,NA,RiboZeroGold,Cyto,RiboZeroGold_Cyto
2107UNHS-0293_Br6432_Ant_Cyto,2107UNHS-0293,Br6432,Ant,Cyto,EndoMural,0,Bisque,1vALL_top25,Br6432_ant,NA,RiboZeroGold,Cyto,RiboZeroGold_Cyto
2107UNHS-0293_Br6432_Ant_Cyto,2107UNHS-0293,Br6432,Ant,Cyto,Micro,0,Bisque,1vALL_top25,Br6432_ant,NA,RiboZeroGold,Cyto,RiboZeroGold_Cyto
2107UNHS-0293_Br6432_Ant_Cyto,2107UNHS-0293,Br6432,Ant,Cyto,Oligo,0.08634398870194607,Bisque,1vALL_top25,Br6432_ant,NA,RiboZeroGold,Cyto,RiboZeroGold_Cyto
2107UNHS-0293_Br6432_Ant_Cyto,2107UNHS-0293,Br6432,Ant,Cyto,OPC,0.09080768454829441,Bisque,1vALL_top25,Br6432_ant,NA,RiboZeroGold,Cyto,RiboZeroGold_Cyto
2107UNHS-0293_Br6432_Ant_Cyto,2107UNHS-0293,Br6432,Ant,Cyto,Excit,0.42449471363515895,Bisque,1vALL_top25,Br6432_ant,NA,RiboZeroGold,Cyto,RiboZeroGold_Cyto
