"","parameter_name","value","priority","index","algo.name","algo.settings","filename","dirname"
"20","cyto_radius","4.2","11","","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"21","membrane_segg_agg","0","12","","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"22","cell_min_area","15","13","","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"23","cell_max_area","650","14","","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"24","min_plus1","1","15","","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"25","min_plus2","4","16","","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"26","min_plus3","10","17","","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"27","min_plus4","16","18","","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"28","verbose","true","19","","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"29","IF Dye 1","GAD1 (Opal 690)","20","0","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"30","dye_use_membrane","False","21","0","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"31","dye_nuclei_weight","0","22","0","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"32","dye_nuclei_positive_threshold","0.67","23","0","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"33","dye_cyto_positive_threshold","1.4","24","0","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"34","dye_membrane_positive_threshold","2.12","25","0","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"35","FISH Probe 1","GFAP (Alexa 594)","26","0","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"36","probe_contrast_threshold","0.523","27","0","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"37","probe_min_intensity","0.292","28","0","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"38","probe_min_spot_size","3","29","0","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"39","probe_max_spot_size","30","30","0","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"40","probe_copy_intensity","1.046","31","0","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"41","probe_segg_agg","1","32","0","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"42","IF Dye 2","DAPI (DAPI)","33","1","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"43","dye_use_membrane","False","34","1","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"44","dye_nuclei_weight","1","35","1","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"45","dye_nuclei_positive_threshold","12","36","1","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"46","dye_cyto_positive_threshold","12","37","1","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"47","dye_membrane_positive_threshold","12","38","1","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"48","FISH Probe 2","AKT3 (Opal 570)","39","1","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"49","probe_contrast_threshold","0.517","40","1","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"50","probe_min_intensity","0.54","41","1","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"51","probe_min_spot_size","0.5","42","1","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"52","probe_max_spot_size","10","43","1","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"53","probe_copy_intensity","26.88","44","1","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"54","probe_segg_agg","1","45","1","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"55","FISH Probe 3","CLDN5 (Alexa 488)","52","2","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"56","probe_contrast_threshold","0.106","53","2","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"57","probe_min_intensity","0.159","54","2","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"58","probe_min_spot_size","15","55","2","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"59","probe_max_spot_size","400","56","2","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"60","probe_copy_intensity","0.44999999999999996","57","2","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"61","probe_segg_agg","0.503","58","2","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"62","phenotype_name","DAPI/AKT3","59","0","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"63","phenotype_num_criterias","2","60","0","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"64","phenotype_criteria_channel","DAPI (DAPI)","61","0,0","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"65","phenotype_criteria_filter","AND Positive","62","0,0","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"66","phenotype_criteria_channel","AKT3 (Opal 570)","63","0,1","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"67","phenotype_criteria_filter","AND Positive","64","0,1","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"68","phenotype_name","GAD1/AKT3","67","1","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"69","phenotype_num_criterias","5","68","1","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"70","phenotype_criteria_channel","GAD1 (Opal 690)","69","1,0","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"71","phenotype_criteria_filter","AND Positive","70","1,0","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"72","phenotype_criteria_channel","AKT3 (Opal 570)","71","1,1","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"73","phenotype_criteria_filter","AND Positive","72","1,1","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"74","phenotype_criteria_channel","DAPI (DAPI)","73","1,2","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"75","phenotype_criteria_filter","AND Positive","74","1,2","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"76","phenotype_name","GFAP/AKT3","75","2","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"77","phenotype_num_criterias","5","76","2","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"78","phenotype_criteria_channel","GFAP (Alexa 594)","77","2,0","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"79","phenotype_criteria_filter","AND Positive","78","2,0","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"80","phenotype_criteria_channel","AKT3 (Opal 570)","79","2,1","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"81","phenotype_criteria_filter","AND Positive","80","2,1","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"82","phenotype_criteria_channel","DAPI (DAPI)","81","2,2","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"83","phenotype_criteria_filter","AND Positive","82","2,2","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"84","phenotype_name","CLDN5/AKT3","83","3","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"85","phenotype_num_criterias","4","84","3","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"86","phenotype_criteria_channel","CLDN5 (Alexa 488)","85","3,0","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"87","phenotype_criteria_filter","AND Positive","86","3,0","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"88","phenotype_criteria_channel","AKT3 (Opal 570)","87","3,1","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"89","phenotype_criteria_filter","AND Positive","88","3,1","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"90","phenotype_criteria_channel","DAPI (DAPI)","89","3,2","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"91","phenotype_criteria_filter","AND Positive","90","3,2","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"92","phenotype_name","GAD1","91","4","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"93","phenotype_num_criterias","4","92","4","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"94","phenotype_criteria_channel","GAD1 (Opal 690)","93","4,0","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"95","phenotype_criteria_filter","AND Positive","94","4,0","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"96","phenotype_criteria_channel","DAPI (DAPI)","95","4,1","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"97","phenotype_criteria_filter","AND Positive","96","4,1","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"98","phenotype_criteria_channel","CLDN5 (Alexa 488)","97","4,2","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"99","phenotype_criteria_filter","AND Negative","98","4,2","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"100","phenotype_name","GFAP","99","5","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"101","phenotype_num_criterias","4","100","5","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"102","phenotype_criteria_channel","DAPI (DAPI)","101","5,0","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"103","phenotype_criteria_filter","AND Positive","102","5,0","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"104","phenotype_criteria_channel","GFAP (Alexa 594)","103","5,1","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"105","phenotype_criteria_filter","AND Positive","104","5,1","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"106","phenotype_criteria_channel","CLDN5 (Alexa 488)","105","5,2","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"107","phenotype_criteria_filter","AND Negative","106","5,2","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"108","phenotype_name","CLDN5","107","6","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"109","phenotype_num_criterias","3","108","6","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"110","phenotype_criteria_channel","DAPI (DAPI)","109","6,0","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"111","phenotype_criteria_filter","AND Positive","110","6,0","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"112","phenotype_criteria_channel","CLDN5 (Alexa 488)","111","6,1","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
"113","phenotype_criteria_filter","AND Positive","112","6,1","AlgorithmSettings ""Indica Labs - FISH-IF v2.1.5""","","Decon_AKT3_Star_Cyto_Nuc_Copyintensity_FINAl_R1_6432Acircle.analysissettings","HALO/Exported_Settings_Files"
