marker,method,library_combo,cor,cor_spearman,rmse,concordance,cor_anno,cor_spear_anno,n_markers
HVG30,CIBERSORTx,polyA_Nuc,0.5844680887281813,0.39265135061302775,0.21562431842626328,0.6103430619559652,"cor:0.584
rmse:0.216","cor:0.393
rmse:0.216",2434
HVG10,CIBERSORTx,RiboZeroGold_Nuc,0.5835393029078664,0.6858783008036741,0.1655103654314909,0.6291375291375292,"cor:0.584
rmse:0.166","cor:0.686
rmse:0.166",811
FULL,CIBERSORTx,polyA_Cyto,0.5819889458919996,0.2614438577427308,0.19853631434464486,0.4976958525345622,"cor:0.582
rmse:0.199","cor:0.261
rmse:0.199",17804
HVG80,CIBERSORTx,RiboZeroGold_Cyto,0.5816440531397543,0.6051516258677384,0.15858300863665542,0.7293265132139812,"cor:0.582
rmse:0.159","cor:0.605
rmse:0.159",6490
MeanRatio_MAD3,hspe,polyA_Nuc,0.5811503799565254,0.351334485407066,0.21860725602204495,0.5775729646697388,"cor:0.581
rmse:0.219","cor:0.351
rmse:0.219",520
1vALL_top25,hspe,polyA_Nuc,0.5806453728042692,0.41949884792626724,0.22199411430791385,0.5704045058883769,"cor:0.581
rmse:0.222","cor:0.419
rmse:0.222",145
MeanRatio_MAD3,hspe,RiboZeroGold_Total,0.5805630593245665,0.49145049324077467,0.19773244619132663,0.7246376811594203,"cor:0.581
rmse:0.198","cor:0.491
rmse:0.198",520
MeanRatio_over2,hspe,RiboZeroGold_Nuc,0.5800619114744168,0.5651810875691474,0.21737766026337343,0.5296037296037296,"cor:0.580
rmse:0.217","cor:0.565
rmse:0.217",557
MeanRatio_over2,CIBERSORTx,RiboZeroGold_Total,0.5792021321348345,0.6843989769820974,0.12416783208404823,0.5110826939471441,"cor:0.579
rmse:0.124","cor:0.684
rmse:0.124",557
HVG30,CIBERSORTx,RiboZeroGold_Cyto,0.5774929771950432,0.5343807088052613,0.17039641326362,0.6862745098039216,"cor:0.577
rmse:0.170","cor:0.534
rmse:0.170",2434
MeanRatio_over2,hspe,RiboZeroGold_Cyto,0.5771643862108634,0.5221775666788455,0.20671742014187333,0.5017050298380221,"cor:0.577
rmse:0.207","cor:0.522
rmse:0.207",557
HVG80,CIBERSORTx,RiboZeroGold_Nuc,0.5768653463949809,0.6079741154368021,0.16206338730928257,0.7365967365967366,"cor:0.577
rmse:0.162","cor:0.608
rmse:0.162",6490
MeanRatio_MAD3,CIBERSORTx,polyA_Nuc,0.5767169058640743,0.25595567615449594,0.2642803234914466,0.579621095750128,"cor:0.577
rmse:0.264","cor:0.256
rmse:0.264",520
HVG20,CIBERSORTx,polyA_Nuc,0.5763804074174271,0.3785585171801109,0.21500523471871502,0.40040962621607784,"cor:0.576
rmse:0.215","cor:0.379
rmse:0.215",1623
HVG40,CIBERSORTx,RiboZeroGold_Nuc,0.57569700367643,0.5569982256549422,0.15906834043016524,0.6843822843822844,"cor:0.576
rmse:0.159","cor:0.557
rmse:0.159",3245
