"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Micro","log2fold_change","Auc"
"12","ENSG00000019582","hurdle",0,-2.8747392,0.2956294,3.1703686,0.749
"137","ENSG00000112799","hurdle",0,-2.3069599,0.3901101,2.69707,0.748
"428","ENSG00000196782","hurdle",8.37053044873418e-296,0.8000176,2.0208226,1.220805,0.746
"56","ENSG00000087253","hurdle",0,-1.793035,0.614456,2.407491,0.745
"318","ENSG00000163513","hurdle",0,-2.4475307,0.4119479,2.8594786,0.744
"293","ENSG00000155629","hurdle",0,-3.0180308,0.1001603,3.1181911,0.744
"406","ENSG00000181804","hurdle",4.01784034578995e-279,0.6609717,1.9916631,1.3306914,0.743
"392","ENSG00000175899","hurdle",0,-1.339514,0.607967,1.947481,0.743
"426","ENSG00000196369","hurdle",0,-0.2593901,1.3580926,1.6174827,0.741
"158","ENSG00000119535","hurdle",0,-3.2274975,-0.1260061,3.1014914,0.739
"470","ENSG00000236963","hurdle",0,-2.4725698,0.1810757,2.6536455,0.738
"190","ENSG00000128512","hurdle",5.77115768224852e-237,3.261324,4.304207,1.042883,0.736
"476","ENSG00000245532","hurdle",2.0648139259008e-240,1.948424,2.669981,0.721557,0.734
"287","ENSG00000153208","hurdle",0,-1.165163,0.934134,2.099297,0.733
"174","ENSG00000123338","hurdle",0,-3.056686,-0.149802,2.906884,0.731
"79","ENSG00000101096","hurdle",0,-2.4766636,0.1554143,2.6320779,0.731
"198","ENSG00000130066","hurdle",2.53909137814184e-284,0.07878977,1.67888832,1.60009855,0.73
"15","ENSG00000026297","hurdle",2.94481757108221e-312,-0.8366497,0.8360831,1.6727328,0.729
"140","ENSG00000114013","hurdle",0,-3.208893,0.169905,3.378798,0.726
"425","ENSG00000196218","hurdle",0,-1.1333083,0.6372304,1.7705387,0.725
"308","ENSG00000161791","hurdle",4.49086789740542e-294,-0.6803527,0.9579877,1.6383404,0.725
"284","ENSG00000152518","hurdle",0,-2.2809033,0.3225407,2.603444,0.725
"84","ENSG00000101463","hurdle",4.78494232561121e-230,1.597417,2.844099,1.246682,0.725
"176","ENSG00000124126","hurdle",4.88543971818155e-260,-0.1789017,1.2152042,1.3941059,0.723
"257","ENSG00000140836","hurdle",3.80088698006591e-226,1.131398,1.721865,0.590467,0.722
"320","ENSG00000163565","hurdle",0,-2.5034108,-0.0153099,2.4881009,0.72
"201","ENSG00000131724","hurdle",0,-2.8678102,-0.1408325,2.7269777,0.72
"9","ENSG00000012779","hurdle",0,-2.8994525,-0.1668982,2.7325543,0.716
"382","ENSG00000173391","hurdle",0,-2.9605919,0.3859785,3.3465704,0.715
"361","ENSG00000170776","hurdle",2.05734811469913e-224,0.5372479,1.4938662,0.9566183,0.713
"27","ENSG00000053918","hurdle",0,-2.51509184,-0.05220712,2.46288472,0.713
"249","ENSG00000138756","hurdle",4.16936953832099e-215,0.3531963,1.5831892,1.2299929,0.711
"272","ENSG00000146192","hurdle",0,-3.2398693,-0.3743455,2.8655238,0.709
"121","ENSG00000109794","hurdle",0,-1.562211,0.492938,2.055149,0.709
"26","ENSG00000053254","hurdle",2.10177871756707e-193,1.862515,2.822224,0.959709,0.709
"75","ENSG00000100599","hurdle",5.41003858458748e-318,-1.536878,0.3693326,1.9062106,0.708
"347","ENSG00000168461","hurdle",3.88839415205667e-253,-0.7621738,0.8044427,1.5666165,0.707
"62","ENSG00000090376","hurdle",0,-2.424189,-0.123059,2.30113,0.7
"266","ENSG00000143119","hurdle",0,-2.5697964,-0.3272319,2.2425645,0.698
"251","ENSG00000139132","hurdle",5.24090289541092e-180,0.3886899,1.503433,1.1147431,0.695
"413","ENSG00000184005","hurdle",3.57010177317337e-167,1.681892,2.743139,1.061247,0.692
"329","ENSG00000165168","hurdle",0,-2.8996488,-0.1338945,2.7657543,0.692
"18","ENSG00000028137","hurdle",0,-3.0176047,-0.1132787,2.904326,0.691
"440","ENSG00000198286","hurdle",0,-2.7840749,-0.3603962,2.4236787,0.69
"414","ENSG00000184060","hurdle",0,-2.433253,-0.159834,2.273419,0.69
"379","ENSG00000173193","hurdle",0,-2.214571,-0.21734,1.997231,0.69
"265","ENSG00000142583","hurdle",0,-3.1036224,-0.4461898,2.6574326,0.69
"82","ENSG00000101336","hurdle",0,-3.0510064,-0.4461898,2.6048166,0.688
"52","ENSG00000082781","hurdle",1.61632187712499e-316,-1.9323665,0.1317577,2.0641242,0.688
"360","ENSG00000170677","hurdle",9.27849615541033e-296,-0.9929362,0.7395405,1.7324767,0.686
"243","ENSG00000138119","hurdle",0,-2.5343157,-0.4062334,2.1280823,0.686
"36","ENSG00000068305","hurdle",9.75738128607896e-139,2.334429,2.887976,0.553547,0.685
"262","ENSG00000141968","hurdle",0,-3.0632669,-0.4734557,2.5898112,0.682
"179","ENSG00000124782","hurdle",1.33824506240211e-278,-1.74674888,0.02066716,1.76741604,0.682
"357","ENSG00000169896","hurdle",0,-3.2218419,-0.5893396,2.6325023,0.681
"268","ENSG00000145569","hurdle",1.24602500948002e-273,-1.9169873,-0.1658869,1.7511004,0.68
"141","ENSG00000114450","hurdle",1.27345434385796e-194,-0.8108563,0.3290115,1.1398678,0.679
"192","ENSG00000128805","hurdle",1.18673005012095e-149,0.5553863,1.5481824,0.9927961,0.678
"479","ENSG00000253988","hurdle",0,-3.1802363,-0.5598164,2.6204199,0.677
"365","ENSG00000171316","hurdle",5.48367780009061e-188,-0.5124553,0.52523,1.0376853,0.677
"129","ENSG00000110934","hurdle",0,-3.1688364,-0.5988614,2.569975,0.677
"484","ENSG00000260314","hurdle",0,-3.0883285,-0.1191389,2.9691896,0.675
"464","ENSG00000227082","hurdle",2.24999183417673e-160,-0.1683102,0.9986928,1.167003,0.675
"442","ENSG00000198771","hurdle",6.63681987442458e-282,-1.7403189,-0.1201179,1.620201,0.674
