"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Inhib","log2fold_change","Auc"
"574","ENSG00000253554","hurdle",0,1.10151,2.870548,1.769038,0.724
"392","ENSG00000170091","hurdle",0,1.212128,2.125063,0.912935,0.724
"48","ENSG00000080224","hurdle",0,2.728595,3.450512,0.721917,0.723
"467","ENSG00000183853","hurdle",0,-2.6865661,0.3724421,3.0590082,0.722
"309","ENSG00000155511","hurdle",0,2.617311,3.326532,0.709221,0.722
"247","ENSG00000145808","hurdle",0,0.7021115,2.3267096,1.6245981,0.722
"585","ENSG00000273079","hurdle",0,3.676959,4.191937,0.514978,0.721
"206","ENSG00000137942","hurdle",0,0.2319707,1.3038359,1.0718652,0.721
"530","ENSG00000198879","hurdle",0,0.7509683,1.9479955,1.1970272,0.72
"475","ENSG00000185052","hurdle",0,-0.3464154,1.9567533,2.3031687,0.72
"518","ENSG00000197584","hurdle",0,2.09656,3.341694,1.245134,0.719
"304","ENSG00000154310","hurdle",0,2.619744,3.384352,0.764608,0.719
"165","ENSG00000129244","hurdle",0,-1.444197,0.472698,1.916895,0.719
"70","ENSG00000100678","hurdle",0,0.9411957,1.823216,0.8820203,0.719
"44","ENSG00000077264","hurdle",0,2.707198,3.284873,0.577675,0.719
"195","ENSG00000136141","hurdle",0,0.6785487,1.6902942,1.0117455,0.718
"458","ENSG00000182621","hurdle",0,5.177944,5.678701,0.500757,0.717
"383","ENSG00000169306","hurdle",0,4.729359,5.613565,0.884206000000001,0.717
"290","ENSG00000152818","hurdle",0,0.8188448,2.529545,1.7107002,0.717
"289","ENSG00000152578","hurdle",0,3.538766,4.364335,0.825569,0.717
"180","ENSG00000133958","hurdle",0,3.206667,3.818021,0.611354,0.716
"106","ENSG00000110328","hurdle",0,1.81631,2.6994,0.88309,0.716
"418","ENSG00000172985","hurdle",0,1.616274,2.533783,0.917509,0.714
"491","ENSG00000187398","hurdle",0,1.395819,2.66372,1.267901,0.713
"484","ENSG00000185942","hurdle",0,0.7112473,2.7619665,2.0507192,0.713
"419","ENSG00000173406","hurdle",0,3.104669,4.121868,1.017199,0.713
