"gene","cellType.target","mean.target","cellType","mean","ratio","rank_ratio","Symbol","anno_ratio","logFC","log.p.value","log.FDR","std.logFC","rank_marker","anno_logFC","in_bulk"
"ENSG00000012124","Oligo",1.36605813930713,"Micro",0.0640017649280906,21.3440698212303,2,"CD22","Oligo/Micro: 21.344",1.02982934556209,-8535.36396283311,-8527.80057097085,1.54113697137764,19," std logFC = 1.541",TRUE
"ENSG00000253877","Oligo",2.41140434218698,"Micro",0.12859128134271,18.752471528457,3,"LINC01608","Oligo/Micro: 18.752",3.16029570285426,-9102.45785334471,-9094.65807270439,1.59997518359044,15," std logFC = 1.6",TRUE
"ENSG00000158865","Oligo",2.05313494217402,"Micro",0.123734778517178,16.5930304056671,4,"SLC5A11","Oligo/Micro: 16.593",2.73842441763536,-7210.07423386178,-7203.12175108185,1.39907151765008,35," std logFC = 1.399",TRUE
"ENSG00000227088","Oligo",2.36932572544111,"OPC",0.147114380746391,16.1053305150743,5,"AC012494.1","Oligo/OPC: 16.105",3.80960317649638,-5780.45435667043,-5773.81772683992,1.23623684301449,48," std logFC = 1.236",TRUE
"ENSG00000105695","Oligo",1.43886411764682,"Micro",0.0953473778805461,15.0907570782856,6,"MAG","Oligo/Micro: 15.091",0.995842989848179,-8132.03800168597,-8124.78826738257,1.49863284977978,26," std logFC = 1.499",TRUE
"ENSG00000011426","Oligo",1.62197230202421,"Micro",0.111287233419792,14.574648431648,7,"ANLN","Oligo/Micro: 14.575",1.30848237372928,-6689.84565912244,-6683.00138992715,1.34116553865121,39," std logFC = 1.341",TRUE
"ENSG00000124920","Oligo",1.51918362459606,"Micro",0.106077420142178,14.3214608967665,8,"MYRF","Oligo/Micro: 14.321",1.12611871502938,-8923.22051136782,-8915.54589387046,1.58148811638378,17," std logFC = 1.581",TRUE
"ENSG00000204655","Oligo",2.03330389230746,"OPC",0.15048106980943,13.5120244352492,9,"MOG","Oligo/OPC: 13.512",1.80394137356302,-11074.8174407514,-11065.6959042711,1.79789638219117,4," std logFC = 1.798",TRUE
"ENSG00000122367","Oligo",1.48289548349854,"EndoMural",0.112541235605935,13.1764635025949,10,"LDB3","Oligo/EndoMural: 13.176",1.13449822211186,-6833.67553213676,-6826.77861920798,1.35731449127209,37," std logFC = 1.357",TRUE
"ENSG00000147488","Oligo",4.6517343618856,"Micro",0.363899687544688,12.7830127947399,11,"ST18","Oligo/Micro: 12.783",14.1746481820752,-11417.1619297988,-11407.3472461379,1.83139928316371,2," std logFC = 1.831",TRUE
"ENSG00000197430","Oligo",1.47826968104756,"Micro",0.116945081213764,12.6407170417491,12,"OPALIN","Oligo/Micro: 12.641",1.17551328368319,-7533.19468609689,-7526.12084245996,1.4343779462704,31," std logFC = 1.434",TRUE
"ENSG00000150656","Oligo",2.11791490838596,"Micro",0.174488993346488,12.1378137827889,13,"CNDP1","Oligo/Micro: 12.138",2.18356359664123,-7644.87598471463,-7637.73544970319,1.44647303284729,29," std logFC = 1.446",TRUE
"ENSG00000013297","Oligo",1.85655875042437,"EndoMural",0.177476013627498,10.46089954624,14,"CLDN11","Oligo/EndoMural: 10.461",1.56932975861788,-9268.66451569223,-9260.6415915006,1.61703291420251,12," std logFC = 1.617",TRUE
"ENSG00000136960","Oligo",2.83383041270023,"OPC",0.284451854497193,9.962425513834,15,"ENPP2","Oligo/OPC: 9.962",3.47531008850027,-10537.9749086859,-10529.4129879935,1.74490822080005,7," std logFC = 1.745",TRUE
"ENSG00000154864","Oligo",1.6729375686614,"Inhib",0.168582825120423,9.92353501886318,16,"PIEZO2","Oligo/Inhib: 9.924",1.4759340778888,-3355.62932646895,-3349.75622461576,0.921070716626338,103," std logFC = 0.921",TRUE
"ENSG00000167123","Oligo",2.36169986395128,"OPC",0.238017884248798,9.92236306698119,17,"CERCAM","Oligo/OPC: 9.922",2.34423020087397,-10108.78027665,-10100.3518873503,1.70210729268569,8," std logFC = 1.702",TRUE
"ENSG00000136541","Oligo",1.36904629074291,"Micro",0.144489737618567,9.47504171096913,18,"ERMN","Oligo/Micro: 9.475",0.909540817034658,-6393.92613030554,-6387.10717891823,1.30757904550711,40," std logFC = 1.308",TRUE
"ENSG00000168314","Oligo",3.53888155542011,"Micro",0.382177435773854,9.25978674867182,19,"MOBP","Oligo/Micro: 9.26",5.40072919095774,-9124.12139925342,-9116.25262574162,1.60220308493052,14," std logFC = 1.602",TRUE
"ENSG00000108381","Oligo",1.56522738147449,"Astro",0.182824875094199,8.56134801496797,20,"ASPA","Oligo/Astro: 8.561",1.22805759161487,-8468.41348947843,-8460.99670109037,1.53412124010402,22," std logFC = 1.534",TRUE
"ENSG00000285051","Oligo",2.35472617945699,"EndoMural",0.309744949842489,7.60214550924692,21,"SLC7A14-AS1","Oligo/EndoMural: 7.602",2.72529949144326,-5168.66365043938,-5162.23335704186,1.1624051328311,59," std logFC = 1.162",TRUE
"ENSG00000091513","Oligo",3.28192519266572,"Astro",0.436136479430159,7.52499583835264,22,"TF","Oligo/Astro: 7.525",4.38580332846628,-9443.43455547395,-9435.32461990532,1.63488449838032,11," std logFC = 1.635",TRUE
"ENSG00000227115","Oligo",1.49492030093982,"Inhib",0.198693521914129,7.52374957441186,23,"LINC01630","Oligo/Inhib: 7.524",1.28688406382479,-2775.45685079988,-2769.73651170124,0.833174997056038,120," std logFC = 0.833",TRUE
"ENSG00000117266","Oligo",2.09353891619647,"Excit",0.294708902833656,7.10375185841647,24,"CDK18","Oligo/Excit: 7.104",1.69753542107635,-4821.3376490462,-4815.00420547467,1.11908044828803,65," std logFC = 1.119",TRUE
"ENSG00000286749","Oligo",2.21909117377698,"Inhib",0.313211767369616,7.08495466952961,25,"AC008571.2","Oligo/Inhib: 7.085",3.93175050883118,-4626.84646791333,-4620.61530319093,1.09431285991509,72," std logFC = 1.094",TRUE
"ENSG00000278254","OPC",3.19895552473151,"Inhib",0.0678846905427011,47.1233719879638,1,"AC004852.2","OPC/Inhib: 47.123",6.05994920397502,-13813.4788141051,-13804.0695955523,4.4181308212536,3," std logFC = 4.418",FALSE
"ENSG00000101311","OPC",1.7228144137395,"EndoMural",0.040828745932121,42.1961138998422,2,"FERMT1","OPC/EndoMural: 42.196",1.82026802389445,-11853.9168325615,-11845.3549118691,4.01693603447927,7," std logFC = 4.017",TRUE
"ENSG00000112280","OPC",1.78862647710223,"EndoMural",0.0929399257280374,19.2449742464411,3,"COL9A1","OPC/EndoMural: 19.245",1.8825004230693,-11564.8027671916,-11556.3743778919,3.95677674232282,8," std logFC = 3.957",TRUE
"ENSG00000134853","OPC",2.70887983287665,"EndoMural",0.148691161505756,18.2181631069698,4,"PDGFRA","OPC/EndoMural: 18.218",3.71535178789513,-15281.583559014,-15271.7688753531,4.71314994236263,2," std logFC = 4.713",TRUE
"ENSG00000157890","OPC",3.35199812160481,"Inhib",0.216473562788099,15.4845611557934,5,"MEGF11","OPC/Inhib: 15.485",5.68894213874676,-12079.7360309783,-12071.0199596061,4.06372786229894,6," std logFC = 4.064",TRUE
"ENSG00000169302","OPC",2.01995713608347,"Astro",0.138357245068654,14.5995761557781,6,"STK32A","OPC/Astro: 14.6",2.36929498257909,-10795.5457934035,-10787.3405476551,3.79518455178748,10," std logFC = 3.795",TRUE
"ENSG00000286364","OPC",1.0605330772438,"Oligo",0.0827708835272375,12.812876123218,7,"AL512308.1","OPC/Oligo: 12.813",1.00883045708778,-7244.90710552305,-7236.96422403909,3.00737516449081,13," std logFC = 3.007",FALSE
"ENSG00000203805","OPC",1.4908549191208,"Inhib",0.147815986776008,10.0858841566302,8,"PLPP4","OPC/Inhib: 10.086",1.47401045491438,-4103.9461599425,-4096.87231630556,2.19870658669559,31," std logFC = 2.199",TRUE
"ENSG00000224184","OPC",1.57754455281471,"Excit",0.205080132299749,7.69233243183665,9,"MIR3681HG","OPC/Excit: 7.692",2.58233512593727,-1785.42351638161,-1779.23317365372,1.41918871806478,75," std logFC = 1.419",FALSE
"ENSG00000187416","OPC",5.94348266670836,"Inhib",0.829059831628917,7.16894298814447,10,"LHFPL3","OPC/Inhib: 7.169",34.2511905388585,-13652.5436585853,-13643.422122105,4.38554514355503,4," std logFC = 4.386",TRUE
"ENSG00000179314","OPC",1.30650264044473,"Oligo",0.186735722008931,6.99653299534324,11,"WSCD1","OPC/Oligo: 6.997",1.11338830082628,-4245.80526822306,-4238.47549121199,2.23931102955701,24," std logFC = 2.239",TRUE
"ENSG00000274461","OPC",1.44932517706295,"Inhib",0.213803336800762,6.77877716386411,12,"AC023282.1","OPC/Inhib: 6.779",1.43909621637674,-2473.8781748964,-2467.3021696877,1.68149583436325,51," std logFC = 1.681",FALSE
"ENSG00000231424","OPC",3.20638231660302,"EndoMural",0.496363375015849,6.45974799510669,13,"BX284613.2","OPC/EndoMural: 6.46",7.42474142032762,-12762.7110951894,-12753.8127022604,4.20428829096866,5," std logFC = 4.204",FALSE
"ENSG00000198732","OPC",2.69525668815554,"Oligo",0.419390238081202,6.42660806910267,14,"SMOC1","OPC/Oligo: 6.427",3.84237867584422,-9670.01319791475,-9661.90326234613,3.55402123603262,11," std logFC = 3.554",TRUE
"ENSG00000038427","OPC",4.23997189799689,"Astro",0.697352694522773,6.08009681657354,15,"VCAN","OPC/Astro: 6.08",10.9685501364224,-16827.392281042,-16816.8844502006,5.02054855695456,1," std logFC = 5.021",TRUE
"ENSG00000075461","OPC",1.82960310411887,"Inhib",0.306221348148348,5.97477319978529,16,"CACNG4","OPC/Inhib: 5.975",1.74937434088372,-4347.06233347466,-4339.68999684916,2.26797179501727,23," std logFC = 2.268",TRUE
"ENSG00000196132","OPC",1.90849727109923,"Inhib",0.346403272937677,5.50946662516838,17,"MYT1","OPC/Inhib: 5.509",1.8662656247041,-6176.60651559759,-6168.80673495727,2.74945449803269,15," std logFC = 2.749",TRUE
"ENSG00000154080","OPC",1.6307536016434,"Astro",0.316459922731559,5.15311255708897,18,"CHST9","OPC/Astro: 5.153",1.53942634565969,-511.801210150574,-506.581646339848,0.749086703413902,198," std logFC = 0.749",FALSE
"ENSG00000196562","OPC",2.19565888757407,"EndoMural",0.469485717930746,4.67673201487666,19,"SULF2","OPC/EndoMural: 4.677",2.20976606557394,-2104.45609453875,-2098.0591375615,1.54548503747594,61," std logFC = 1.545",TRUE
"ENSG00000174945","OPC",1.71232854968669,"Astro",0.368096919177632,4.65184156800936,20,"AMZ1","OPC/Astro: 4.652",1.44564996339392,-1683.59397680623,-1677.45559381728,1.37676357721912,79," std logFC = 1.377",TRUE
"ENSG00000065320","OPC",1.78926937015136,"EndoMural",0.420673815097078,4.25334143922995,21,"NTN1","OPC/EndoMural: 4.253",1.79281032307626,-6527.22379395116,-6519.35502043935,2.83560038664079,14," std logFC = 2.836",TRUE
"ENSG00000285755","OPC",1.39330044263235,"Micro",0.329872012729788,4.22376069767901,22,"AC132153.1","OPC/Micro: 4.224",1.39996405114901,-2688.62188730021,-2681.9642040605,1.75647971590201,47," std logFC = 1.756",FALSE
"ENSG00000152527","OPC",1.92480388075024,"Inhib",0.468959352745469,4.10441516835456,23,"PLEKHH2","OPC/Inhib: 4.104",1.3253836252512,-749.577017048519,-744.066398480862,0.909588906515857,148," std logFC = 0.91",TRUE
"ENSG00000175928","OPC",2.24657621306336,"Excit",0.572733568686675,3.9225502675091,24,"LRRN1","OPC/Excit: 3.923",1.9657538643317,-708.6064186247,-703.148443790529,0.883920046954434,156," std logFC = 0.884",TRUE
"ENSG00000231871","OPC",1.36316209776193,"Inhib",0.363601305976038,3.7490572100744,25,"IPO9-AS1","OPC/Inhib: 3.749",1.1188309984022,-754.608358370394,-749.090960115752,0.912693957891165,147," std logFC = 0.913",TRUE
"ENSG00000249881","Excit",1.00220939299699,"EndoMural",0.0623585329964396,16.0717281956297,1,"AC008696.2","Excit/EndoMural: 16.072",4.69768194619751,-3993.01390028467,-3989.4365642092,0.815581482626481,1023," std logFC = 0.816",FALSE
"ENSG00000223812","Excit",0.950147742317718,"Micro",0.0792405512670937,11.9906755710859,2,"AC073365.1","Excit/Micro: 11.991",3.76298686293926,-4289.29826884604,-4285.47379895038,0.847610477564767,799," std logFC = 0.848",TRUE
"ENSG00000224819","Excit",0.679885910265122,"Oligo",0.0573801509263507,11.8487996160515,3,"AC093843.1","Excit/Oligo: 11.849",2.25615458631231,-4531.65773162363,-4527.61759950831,0.873176140559588,644," std logFC = 0.873",TRUE
"ENSG00000236451","Excit",1.32821721481236,"Oligo",0.128447460514218,10.3405486530841,4,"AC067956.1","Excit/Oligo: 10.341",6.68592946834789,-5182.64679034395,-5178.0333623368,0.939410852138958,363," std logFC = 0.939",TRUE
"ENSG00000152034","Excit",0.670336578914521,"Oligo",0.0653091974217286,10.2640455767031,5,"MCHR2","Excit/Oligo: 10.264",2.22925295288385,-3935.08245701722,-3931.55004010326,0.809211127890337,1070," std logFC = 0.809",TRUE
"ENSG00000239498","Excit",1.54835652082872,"Oligo",0.162597509783311,9.52263366697417,6,"AC019211.1","Excit/Oligo: 9.523",9.15268875508935,-5038.10122311139,-5033.6431257252,0.924984129652376,424," std logFC = 0.925",TRUE
"ENSG00000248455","Excit",0.842617642234898,"Oligo",0.0972728063423378,8.662417318047,7,"LINC02217","Excit/Oligo: 8.662",2.83300053890083,-5130.66335152213,-5126.10355566989,0.934239674639725,383," std logFC = 0.934",TRUE
"ENSG00000224271","Excit",1.82997716354625,"Oligo",0.21435917241096,8.53696691848531,8,"AL117329.1","Excit/Oligo: 8.537",13.133477496261,-5405.83716544669,-5400.97830884344,0.961403039450554,284," std logFC = 0.961",TRUE
"ENSG00000011083","Excit",0.582099862045941,"Inhib",0.0763341176741876,7.62568402939409,9,"SLC6A7","Excit/Inhib: 7.626",1.33243074454138,-6221.20883901809,-6215.47169280114,1.03916098208268,118," std logFC = 1.039",TRUE
"ENSG00000237720","Excit",1.01460050313159,"Inhib",0.135111439281863,7.50936048438485,10,"AC011995.2","Excit/Inhib: 7.509",3.39938657432375,-6615.20682971354,-6609.04280429397,1.07547693038044,77," std logFC = 1.075",TRUE
"ENSG00000146147","Excit",1.64612952099185,"Oligo",0.223643976925355,7.36049118613766,11,"MLIP","Excit/Oligo: 7.36",7.74612457944516,-6639.92560238481,-6633.72183663659,1.0777311685765,74," std logFC = 1.078",TRUE
"ENSG00000141668","Excit",1.48565986797477,"Oligo",0.225893397905659,6.57681845396486,12,"CBLN2","Excit/Oligo: 6.577",8.01922111985742,-4052.08356088391,-4048.46021669453,0.822039501995344,977," std logFC = 0.822",TRUE
"ENSG00000226320","Excit",0.715011442373353,"Inhib",0.109052091545822,6.55660457528147,13,"LINC01811","Excit/Inhib: 6.557",2.71270782784362,-2047.53918980127,-2045.46277637425,0.573549471366846,4589," std logFC = 0.574",FALSE
"ENSG00000285939","Excit",1.35009500434741,"Inhib",0.207183033574705,6.51643612439238,14,"AC034268.2","Excit/Inhib: 6.516",8.75620363791183,-2660.17512504106,-2657.67532704661,0.657525888062926,3005," std logFC = 0.658",TRUE
"ENSG00000184999","Excit",1.00270535701975,"EndoMural",0.164252781354329,6.1046476580308,15,"SLC22A10","Excit/EndoMural: 6.105",3.94146875404143,-3792.28306443682,-3788.86946844133,0.793347073022345,1205," std logFC = 0.793",TRUE
"ENSG00000229618","Excit",1.92596790043988,"EndoMural",0.320163699498649,6.01557235706544,16,"AC011287.1","Excit/EndoMural: 6.016",13.9453571401537,-4268.85497668709,-4265.05645018593,0.845428838403036,820," std logFC = 0.845",TRUE
"ENSG00000147676","Excit",0.82883723247413,"Oligo",0.141900501457103,5.84097465451656,17,"MAL2","Excit/Oligo: 5.841",1.81922218946101,-6092.22945620189,-6086.64887904562,1.02710661690887,138," std logFC = 1.027",TRUE
"ENSG00000171509","Excit",0.948554734281017,"Oligo",0.168531204252844,5.62836264350144,18,"RXFP1","Excit/Oligo: 5.628",3.86000326485026,-3255.213762551,-3252.26653287235,0.731387688649995,1921," std logFC = 0.731",TRUE
"ENSG00000169064","Excit",0.793050751473246,"Inhib",0.14636828067193,5.41818724543734,19,"ZBBX","Excit/Inhib: 5.418",2.68626452953199,-3736.3195048321,-3732.95687012567,0.787064964694346,1268," std logFC = 0.787",TRUE
"ENSG00000164794","Excit",0.636729773705256,"EndoMural",0.119168735239099,5.34309416331161,20,"KCNV1","Excit/EndoMural: 5.343",1.31933987634239,-5020.13851277512,-5015.6967900238,0.923180778189648,431," std logFC = 0.923",TRUE
"ENSG00000135426","Excit",1.27024648697716,"EndoMural",0.25018225735798,5.07728445810445,21,"TESPA1","Excit/EndoMural: 5.077",4.43424733902326,-5225.49734802796,-5220.84171966631,0.943659327277922,348," std logFC = 0.944",TRUE
"ENSG00000157782","Excit",2.51058346267238,"Oligo",0.504915940963257,4.97228005493903,22,"CABP1","Excit/Oligo: 4.972",12.0200603622228,-8762.7085714018,-8753.5870349215,1.2627796070102,4," std logFC = 1.263",TRUE
"ENSG00000152931","Excit",1.04984425018945,"EndoMural",0.215304853275512,4.87608260667505,23,"PART1","Excit/EndoMural: 4.876",3.08762014965677,-6091.88195259708,-6086.31576417827,1.02707402307824,140," std logFC = 1.027",TRUE
"ENSG00000066248","Excit",1.30747351478978,"Inhib",0.291517988593096,4.48505260721582,24,"NGEF","Excit/Inhib: 4.485",3.61075607916772,-8266.29947107934,-8257.73755038697,1.22081626094469,7," std logFC = 1.221",TRUE
"ENSG00000119125","Excit",1.33550336163305,"Inhib",0.299871057834878,4.45359205811866,25,"GDA","Excit/Inhib: 4.454",3.80915454218285,-6429.20800890524,-6423.25405495542,1.05842500405942,95," std logFC = 1.058",TRUE
"ENSG00000142611","Astro",1.96548353717831,"EndoMural",0.141535630239305,13.8868462581127,1,"PRDM16","Astro/EndoMural: 13.887",1.90338994341163,-8852.94798693735,-8842.44015609592,2.38335024844311,1," std logFC = 2.383",TRUE
"ENSG00000234377","Astro",3.75826942248129,"Oligo",0.313848454124353,11.9747902947841,2,"OBI1-AS1","Astro/Oligo: 11.975",9.31843679184453,-5262.43145890294,-5255.14250388639,1.77730348877633,25," std logFC = 1.777",TRUE
"ENSG00000149090","Astro",2.12083527724187,"Excit",0.200048431035174,10.6016091516807,3,"PAMR1","Astro/Excit: 10.602",2.38915759600428,-4114.08586963298,-4107.56702283813,1.55491770347248,54," std logFC = 1.555",TRUE
"ENSG00000147509","Astro",1.74278559603387,"Inhib",0.164412517159806,10.6000785471821,4,"RGS20","Astro/Inhib: 10.6",2.15301996738545,-4750.44034756967,-4743.42902428972,1.68067985853379,33," std logFC = 1.681",TRUE
"ENSG00000172987","Astro",2.5130805016935,"Inhib",0.2711066107269,9.26971310273604,5,"HPSE2","Astro/Inhib: 9.27",5.80795869237578,-3445.32846541688,-3439.12469966866,1.41418363359933,74," std logFC = 1.414",TRUE
"ENSG00000164199","Astro",4.47324608367939,"Excit",0.515827025888119,8.67198859148109,6,"ADGRV1","Astro/Excit: 8.672",15.16424380996,-8687.48534893565,-8678.0761303829,2.3573222711967,3," std logFC = 2.357",TRUE
"ENSG00000138696","Astro",2.26849977426683,"EndoMural",0.269316164556475,8.4231846164998,7,"BMPR1B","Astro/EndoMural: 8.423",3.06757065315698,-2908.31329831538,-2902.29410384369,1.29285724048098,89," std logFC = 1.293",TRUE
"ENSG00000182902","Astro",1.87871542085016,"Oligo",0.233301613347675,8.05273222886132,8,"SLC25A18","Astro/Oligo: 8.053",1.93576955342106,-6601.90442490359,-6593.96154341963,2.01548451907114,13," std logFC = 2.015",TRUE
"ENSG00000197360","Astro",2.16420328597204,"OPC",0.301066315267554,7.18846040298045,9,"ZNF98","Astro/OPC: 7.188",4.14815406083215,-4218.80856440082,-4212.17193457031,1.57610411567113,48," std logFC = 1.576",TRUE
"ENSG00000068078","Astro",1.66661966411079,"OPC",0.257700021512671,6.46728570035777,10,"FGFR3","Astro/OPC: 6.467",1.29795640788631,-8669.33434983485,-8660.21281335455,2.35445887080364,4," std logFC = 2.354",TRUE
"ENSG00000236790","Astro",3.19723205734281,"Excit",0.497050886333794,6.43240389515312,11,"LINC00299","Astro/Excit: 6.432",4.91813651176223,-3775.19541818917,-3768.89227996714,1.48485168526281,67," std logFC = 1.485",TRUE
"ENSG00000182175","Astro",1.3595063328986,"Excit",0.227948343734511,5.96409831554646,12,"RGMA","Astro/Excit: 5.964",0.912719978372184,-1344.75152935699,-1339.4801404784,0.866096639705797,188," std logFC = 0.866",TRUE
"ENSG00000236197","Astro",2.42285178034823,"OPC",0.411950149987998,5.88141982814868,13,"AC002429.2","Astro/OPC: 5.881",3.93604038741755,-3796.29896628238,-3789.98079018298,1.48928606695828,66," std logFC = 1.489",TRUE
"ENSG00000135063","Astro",1.57328599768903,"EndoMural",0.273538491612842,5.75160734568871,14,"FAM189A2","Astro/EndoMural: 5.752",1.79424654133089,-4435.48096292114,-4428.66201153384,1.61930135984986,40," std logFC = 1.619",TRUE
"ENSG00000103740","Astro",1.76808926713456,"Oligo",0.321359929651596,5.50189710662259,15,"ACSBG1","Astro/Oligo: 5.502",1.69155327904588,-5592.32571714283,-5584.86240873913,1.83775144336783,21," std logFC = 1.838",TRUE
"ENSG00000226476","Astro",1.5284474801992,"Excit",0.300266009902425,5.09031135657309,16,"LINC01748","Astro/Excit: 5.09",1.39999773783953,-1464.57655565351,-1459.22201640658,0.904949224970041,173," std logFC = 0.905",TRUE
